OG	K	P	FDR_P	interpretation
14679	0.65	0.0	0.0	relaxation
14697	0.71	0.0	0.0	relaxation
14730	0.54	0.0	0.0	relaxation
14875	50.0	0.0	0.0	intensification
15240	14.57	0.0	0.0	intensification
15358	0.13	0.0	0.0	relaxation
15738	0.33	0.0	0.0	relaxation
15753	10.48	0.0	0.0	intensification
15845	0.6	0.0	0.0	relaxation
15859	44.99	0.0	0.0	intensification
15891	0.0	0.0	0.0	relaxation
15903	5.03	0.0	0.0	intensification
16027	0.05	0.0	0.0	relaxation
16127	0.07	0.0	0.0	relaxation
16153	0.05	0.0	0.0	relaxation
16186	0.57	0.0	0.0	relaxation
16190	0.55	0.0	0.0	relaxation
16287	7.77	0.0	0.0	intensification
16302	3.19	0.0	0.0	intensification
16317	0.39	0.0	0.0	relaxation
16374	0.46	0.0	0.0	relaxation
16435	0.59	0.0	0.0	relaxation
16497	7.0	0.0	0.0	intensification
16625	27.46	0.0	0.0	intensification
16680	0.83	0.0	0.0	relaxation
16681	0.73	0.0	0.0	relaxation
16697	0.54	0.0	0.0	relaxation
16716	0.56	0.0	0.0	relaxation
16966	2.55	0.0	0.0	intensification
16969	16.66	0.0	0.0	intensification
16973	0.26	0.0	0.0	relaxation
17258	2.06	0.0	0.0	intensification
17350	3.6	0.0	0.0	intensification
17512	3.15	0.0	0.0	intensification
17564	0.38	0.0	0.0	relaxation
17669	0.0	0.0	0.0	relaxation
17674	7.65	0.0	0.0	intensification
17693	0.47	0.0	0.0	relaxation
17830	4.36	0.0	0.0	intensification
17861	0.0	0.0	0.0	relaxation
17863	0.72	0.0	0.0	relaxation
17997	1.84	0.0	0.0	intensification
18044	3.13	0.0	0.0	intensification
18049	12.42	0.0	0.0	intensification
18095	0.56	0.0	0.0	relaxation
18134	2.9	0.0	0.0	intensification
18191	14.89	0.0	0.0	intensification
18406	2.41	0.0	0.0	intensification
18449	50.0	0.0	0.0	intensification
18478	50.0	0.0	0.0	intensification
18555	0.29	0.0	0.0	relaxation
19070	0.42	0.0	0.0	relaxation
19073	50.0	0.0	0.0	intensification
19214	10.62	0.0	0.0	intensification
10869	0.0	0.0001	0.00427888198758	relaxation
10926	0.77	0.0001	0.00427888198758	relaxation
10970	0.55	0.0001	0.00427888198758	relaxation
11165	0.72	0.0001	0.00427888198758	relaxation
11231	0.54	0.0001	0.00427888198758	relaxation
11646	0.67	0.0001	0.00427888198758	relaxation
11814	1.55	0.0001	0.00427888198758	intensification
11863	0.76	0.0001	0.00427888198758	relaxation
12317	0.71	0.0001	0.00427888198758	relaxation
12405	11.47	0.0001	0.00427888198758	intensification
12615	0.62	0.0001	0.00427888198758	relaxation
12617	0.57	0.0001	0.00427888198758	relaxation
12803	2.65	0.0001	0.00427888198758	intensification
12827	0.81	0.0001	0.00427888198758	relaxation
12930	25.39	0.0001	0.00427888198758	intensification
13145	1.91	0.0001	0.00427888198758	intensification
13237	0.64	0.0001	0.00427888198758	relaxation
13499	10.34	0.0001	0.00427888198758	intensification
13643	39.14	0.0001	0.00427888198758	intensification
14080	0.56	0.0001	0.00427888198758	relaxation
14100	4.42	0.0001	0.00427888198758	intensification
14275	0.62	0.0001	0.00427888198758	relaxation
14867	27.89	0.0001	0.00427888198758	intensification
14879	0.34	0.0001	0.00427888198758	relaxation
14952	0.69	0.0001	0.00427888198758	relaxation
15597	0.21	0.0001	0.00427888198758	relaxation
15659	0.58	0.0001	0.00427888198758	relaxation
15791	0.74	0.0001	0.00427888198758	relaxation
15828	0.0	0.0001	0.00427888198758	relaxation
15854	5.41	0.0001	0.00427888198758	intensification
15967	0.81	0.0001	0.00427888198758	relaxation
16315	0.48	0.0001	0.00427888198758	relaxation
16476	0.69	0.0001	0.00427888198758	relaxation
16587	2.5	0.0001	0.00427888198758	intensification
16768	10.1	0.0001	0.00427888198758	intensification
17061	0.4	0.0001	0.00427888198758	relaxation
17100	0.73	0.0001	0.00427888198758	relaxation
17173	0.24	0.0001	0.00427888198758	relaxation
17594	0.67	0.0001	0.00427888198758	relaxation
18280	16.88	0.0001	0.00427888198758	intensification
18346	1.66	0.0001	0.00427888198758	intensification
19075	0.0	0.0001	0.00427888198758	relaxation
19410	0.0	0.0001	0.00427888198758	relaxation
10627	0.79	0.0002	0.00702959183673	relaxation
10776	50.0	0.0002	0.00702959183673	intensification
10919	0.73	0.0002	0.00702959183673	relaxation
11272	0.7	0.0002	0.00702959183673	relaxation
11460	0.68	0.0002	0.00702959183673	relaxation
11469	2.7	0.0002	0.00702959183673	intensification
12342	0.66	0.0002	0.00702959183673	relaxation
12593	13.34	0.0002	0.00702959183673	intensification
12610	1.25	0.0002	0.00702959183673	intensification
13134	3.3	0.0002	0.00702959183673	intensification
13308	11.65	0.0002	0.00702959183673	intensification
13443	0.0	0.0002	0.00702959183673	relaxation
14055	1.73	0.0002	0.00702959183673	intensification
14523	2.33	0.0002	0.00702959183673	intensification
14901	50.0	0.0002	0.00702959183673	intensification
14935	10.19	0.0002	0.00702959183673	intensification
15322	11.75	0.0002	0.00702959183673	intensification
15618	0.77	0.0002	0.00702959183673	relaxation
15633	0.77	0.0002	0.00702959183673	relaxation
15735	1.42	0.0002	0.00702959183673	intensification
15747	0.63	0.0002	0.00702959183673	relaxation
15958	0.27	0.0002	0.00702959183673	relaxation
16124	13.24	0.0002	0.00702959183673	intensification
16156	6.45	0.0002	0.00702959183673	intensification
16242	34.74	0.0002	0.00702959183673	intensification
16343	0.55	0.0002	0.00702959183673	relaxation
16432	0.57	0.0002	0.00702959183673	relaxation
16459	0.66	0.0002	0.00702959183673	relaxation
17405	0.1	0.0002	0.00702959183673	relaxation
17448	0.25	0.0002	0.00702959183673	relaxation
17615	10.0	0.0002	0.00702959183673	intensification
17705	0.53	0.0002	0.00702959183673	relaxation
17757	2.04	0.0002	0.00702959183673	intensification
18162	3.06	0.0002	0.00702959183673	intensification
18609	3.34	0.0002	0.00702959183673	intensification
11579	0.6	0.0003	0.00965747663551	relaxation
11592	34.95	0.0003	0.00965747663551	intensification
12815	0.77	0.0003	0.00965747663551	relaxation
13358	0.77	0.0003	0.00965747663551	relaxation
13533	4.72	0.0003	0.00965747663551	intensification
13832	0.58	0.0003	0.00965747663551	relaxation
14397	21.44	0.0003	0.00965747663551	intensification
14463	12.12	0.0003	0.00965747663551	intensification
14513	50.0	0.0003	0.00965747663551	intensification
14622	0.59	0.0003	0.00965747663551	relaxation
15253	3.53	0.0003	0.00965747663551	intensification
15417	5.58	0.0003	0.00965747663551	intensification
15689	0.61	0.0003	0.00965747663551	relaxation
16318	0.72	0.0003	0.00965747663551	relaxation
16454	0.72	0.0003	0.00965747663551	relaxation
16582	0.79	0.0003	0.00965747663551	relaxation
16831	50.0	0.0003	0.00965747663551	intensification
17668	0.01	0.0003	0.00965747663551	relaxation
11004	0.69	0.0004	0.011929004329	relaxation
11392	3.7	0.0004	0.011929004329	intensification
12401	0.5	0.0004	0.011929004329	relaxation
12600	0.7	0.0004	0.011929004329	relaxation
12648	30.82	0.0004	0.011929004329	intensification
12914	2.46	0.0004	0.011929004329	intensification
13486	0.5	0.0004	0.011929004329	relaxation
14335	0.52	0.0004	0.011929004329	relaxation
14401	1.43	0.0004	0.011929004329	intensification
14822	1.74	0.0004	0.011929004329	intensification
15311	1.52	0.0004	0.011929004329	intensification
15920	0.77	0.0004	0.011929004329	relaxation
16169	0.57	0.0004	0.011929004329	relaxation
16521	40.89	0.0004	0.011929004329	intensification
16803	0.0	0.0004	0.011929004329	relaxation
17182	0.59	0.0004	0.011929004329	relaxation
17487	0.65	0.0004	0.011929004329	relaxation
11370	1.94	0.0005	0.0138891129032	intensification
11628	13.14	0.0005	0.0138891129032	intensification
11978	0.68	0.0005	0.0138891129032	relaxation
12430	2.32	0.0005	0.0138891129032	intensification
12515	0.69	0.0005	0.0138891129032	relaxation
13361	0.68	0.0005	0.0138891129032	relaxation
14188	50.0	0.0005	0.0138891129032	intensification
14373	1.3	0.0005	0.0138891129032	intensification
14689	50.0	0.0005	0.0138891129032	intensification
14805	32.59	0.0005	0.0138891129032	intensification
15015	12.4	0.0005	0.0138891129032	intensification
15202	6.74	0.0005	0.0138891129032	intensification
15925	0.75	0.0005	0.0138891129032	relaxation
16258	3.36	0.0005	0.0138891129032	intensification
16751	8.32	0.0005	0.0138891129032	intensification
17023	1.93	0.0005	0.0138891129032	intensification
18163	0.66	0.0005	0.0138891129032	relaxation
10840	5.09	0.0006	0.0158367816092	intensification
11615	0.5	0.0006	0.0158367816092	relaxation
11914	0.0	0.0006	0.0158367816092	relaxation
12748	0.6	0.0006	0.0158367816092	relaxation
13008	4.82	0.0006	0.0158367816092	intensification
13911	0.2	0.0006	0.0158367816092	relaxation
15120	11.7	0.0006	0.0158367816092	intensification
15513	0.7	0.0006	0.0158367816092	relaxation
16068	0.68	0.0006	0.0158367816092	relaxation
16707	0.68	0.0006	0.0158367816092	relaxation
16947	1.86	0.0006	0.0158367816092	intensification
17195	0.52	0.0006	0.0158367816092	relaxation
18909	4.69	0.0006	0.0158367816092	intensification
11742	0.69	0.0007	0.0175356363636	relaxation
12035	5.94	0.0007	0.0175356363636	intensification
13030	1.71	0.0007	0.0175356363636	intensification
13057	0.45	0.0007	0.0175356363636	relaxation
13171	0.66	0.0007	0.0175356363636	relaxation
13376	0.74	0.0007	0.0175356363636	relaxation
13812	50.0	0.0007	0.0175356363636	intensification
15405	12.48	0.0007	0.0175356363636	intensification
15693	0.74	0.0007	0.0175356363636	relaxation
16017	0.7	0.0007	0.0175356363636	relaxation
16542	1.77	0.0007	0.0175356363636	intensification
17607	50.0	0.0007	0.0175356363636	intensification
18136	1.73	0.0007	0.0175356363636	intensification
18490	48.93	0.0007	0.0175356363636	intensification
10556	20.22	0.0008	0.0193375438596	intensification
11459	0.1	0.0008	0.0193375438596	relaxation
11534	0.72	0.0008	0.0193375438596	relaxation
12039	2.73	0.0008	0.0193375438596	intensification
12726	7.91	0.0008	0.0193375438596	intensification
14553	0.62	0.0008	0.0193375438596	relaxation
14626	0.74	0.0008	0.0193375438596	relaxation
15734	1.97	0.0008	0.0193375438596	intensification
16143	10.32	0.0008	0.0193375438596	intensification
16371	0.75	0.0008	0.0193375438596	relaxation
13139	0.65	0.0009	0.0210887755102	relaxation
14738	0.66	0.0009	0.0210887755102	relaxation
14947	0.17	0.0009	0.0210887755102	relaxation
15052	0.65	0.0009	0.0210887755102	relaxation
15132	0.63	0.0009	0.0210887755102	relaxation
16446	0.55	0.0009	0.0210887755102	relaxation
16596	10.22	0.0009	0.0210887755102	intensification
16603	0.88	0.0009	0.0210887755102	relaxation
17078	0.7	0.0009	0.0210887755102	relaxation
10400	3.13	0.001	0.0228870431894	intensification
12605	0.69	0.001	0.0228870431894	relaxation
14468	0.67	0.001	0.0228870431894	relaxation
15150	0.6	0.001	0.0228870431894	relaxation
16871	0.16	0.001	0.0228870431894	relaxation
17456	0.61	0.001	0.0228870431894	relaxation
18939	0.65	0.001	0.0228870431894	relaxation
11402	0.78	0.0011	0.024683713355	relaxation
13990	13.51	0.0011	0.024683713355	intensification
16758	0.72	0.0011	0.024683713355	relaxation
17500	1.85	0.0011	0.024683713355	intensification
17945	2.69	0.0011	0.024683713355	intensification
19669	2.25	0.0011	0.024683713355	intensification
11041	1.54	0.0012	0.0264115015974	intensification
11149	2.53	0.0012	0.0264115015974	intensification
11751	2.43	0.0012	0.0264115015974	intensification
12483	0.66	0.0012	0.0264115015974	relaxation
13937	0.78	0.0012	0.0264115015974	relaxation
16602	0.72	0.0012	0.0264115015974	relaxation
11482	2.45	0.0013	0.0279865625	intensification
15176	2.75	0.0013	0.0279865625	intensification
16098	0.33	0.0013	0.0279865625	relaxation
16704	30.35	0.0013	0.0279865625	intensification
16794	8.37	0.0013	0.0279865625	intensification
17132	3.52	0.0013	0.0279865625	intensification
18160	0.76	0.0013	0.0279865625	relaxation
10492	0.65	0.0014	0.0297672839506	relaxation
13505	2.92	0.0014	0.0297672839506	intensification
18476	0.59	0.0014	0.0297672839506	relaxation
18508	2.5	0.0014	0.0297672839506	intensification
10451	0.82	0.0015	0.0307544642857	relaxation
11542	0.82	0.0015	0.0307544642857	relaxation
11895	0.79	0.0015	0.0307544642857	relaxation
12011	2.42	0.0015	0.0307544642857	intensification
12246	0.88	0.0015	0.0307544642857	relaxation
12637	0.75	0.0015	0.0307544642857	relaxation
13299	0.64	0.0015	0.0307544642857	relaxation
13340	2.63	0.0015	0.0307544642857	intensification
13562	0.62	0.0015	0.0307544642857	relaxation
15047	0.85	0.0015	0.0307544642857	relaxation
15936	0.7	0.0015	0.0307544642857	relaxation
18593	0.67	0.0015	0.0307544642857	relaxation
10581	1.42	0.0016	0.0321352769679	intensification
13181	46.87	0.0016	0.0321352769679	intensification
15681	0.8	0.0016	0.0321352769679	relaxation
17873	0.66	0.0016	0.0321352769679	relaxation
17942	2.46	0.0016	0.0321352769679	intensification
18198	0.74	0.0016	0.0321352769679	relaxation
19088	0.53	0.0016	0.0321352769679	relaxation
10913	0.67	0.0017	0.0335567335244	relaxation
15362	0.8	0.0017	0.0335567335244	relaxation
17878	0.45	0.0017	0.0335567335244	relaxation
18369	0.79	0.0017	0.0335567335244	relaxation
18725	4.55	0.0017	0.0335567335244	intensification
19332	0.28	0.0017	0.0335567335244	relaxation
10567	2.74	0.0018	0.034445	intensification
11031	0.0	0.0018	0.034445	relaxation
11720	2.39	0.0018	0.034445	intensification
12606	0.0	0.0018	0.034445	relaxation
14212	2.59	0.0018	0.034445	intensification
14319	0.68	0.0018	0.034445	relaxation
14348	0.58	0.0018	0.034445	relaxation
14897	16.96	0.0018	0.034445	intensification
16043	1.88	0.0018	0.034445	intensification
17697	0.26	0.0018	0.034445	relaxation
18589	0.47	0.0018	0.034445	relaxation
11576	0.85	0.0019	0.0352805929919	relaxation
12444	3.48	0.0019	0.0352805929919	intensification
13250	0.73	0.0019	0.0352805929919	relaxation
14742	0.72	0.0019	0.0352805929919	relaxation
16904	0.66	0.0019	0.0352805929919	relaxation
17207	0.0	0.0019	0.0352805929919	relaxation
17606	30.35	0.0019	0.0352805929919	intensification
17648	2.15	0.0019	0.0352805929919	intensification
17650	1.65	0.0019	0.0352805929919	intensification
18094	0.78	0.0019	0.0352805929919	relaxation
18384	1.29	0.0019	0.0352805929919	intensification
11979	0.38	0.002	0.0367413333333	relaxation
13709	1.26	0.002	0.0367413333333	intensification
16604	0.19	0.002	0.0367413333333	relaxation
17781	50.0	0.002	0.0367413333333	intensification
10246	0.82	0.0021	0.0380707894737	relaxation
10697	2.96	0.0021	0.0380707894737	intensification
11557	0.74	0.0021	0.0380707894737	relaxation
14288	0.71	0.0021	0.0380707894737	relaxation
16961	0.62	0.0021	0.0380707894737	relaxation
12083	5.97	0.0022	0.0392637305699	intensification
12407	3.91	0.0022	0.0392637305699	intensification
13582	0.69	0.0022	0.0392637305699	relaxation
13625	3.11	0.0022	0.0392637305699	intensification
16984	0.58	0.0022	0.0392637305699	relaxation
17829	0.61	0.0022	0.0392637305699	relaxation
14042	0.62	0.0023	0.0404201530612	relaxation
15685	0.49	0.0023	0.0404201530612	relaxation
15901	0.7	0.0023	0.0404201530612	relaxation
17450	0.73	0.0023	0.0404201530612	relaxation
18650	0.43	0.0023	0.0404201530612	relaxation
18781	2.25	0.0023	0.0404201530612	intensification
10753	0.72	0.0024	0.041334	relaxation
11153	0.68	0.0024	0.041334	relaxation
11940	0.0	0.0024	0.041334	relaxation
12199	1.85	0.0024	0.041334	intensification
14204	0.58	0.0024	0.041334	relaxation
14543	0.53	0.0024	0.041334	relaxation
14960	0.68	0.0024	0.041334	relaxation
15066	0.53	0.0024	0.041334	relaxation
12178	8.85	0.0025	0.0423157248157	intensification
13076	0.64	0.0025	0.0423157248157	relaxation
13739	13.79	0.0025	0.0423157248157	intensification
13948	22.49	0.0025	0.0423157248157	intensification
16481	19.42	0.0025	0.0423157248157	intensification
16653	1.82	0.0025	0.0423157248157	intensification
17576	0.66	0.0025	0.0423157248157	relaxation
12238	1.41	0.0026	0.0432642512077	intensification
13561	0.66	0.0026	0.0432642512077	relaxation
15257	0.62	0.0026	0.0432642512077	relaxation
17235	0.15	0.0026	0.0432642512077	relaxation
17645	50.0	0.0026	0.0432642512077	intensification
17771	0.0	0.0026	0.0432642512077	relaxation
18861	16.59	0.0026	0.0432642512077	intensification
11532	0.59	0.0027	0.0441812351544	relaxation
13784	0.71	0.0027	0.0441812351544	relaxation
14904	8.73	0.0027	0.0441812351544	intensification
15134	2.1	0.0027	0.0441812351544	intensification
16734	0.0	0.0027	0.0441812351544	relaxation
18371	0.3	0.0027	0.0441812351544	relaxation
19440	0.57	0.0027	0.0441812351544	relaxation
12059	13.7	0.0028	0.0452798122066	intensification
12140	0.71	0.0028	0.0452798122066	relaxation
12831	0.57	0.0028	0.0452798122066	relaxation
15729	0.66	0.0028	0.0452798122066	relaxation
15979	0.85	0.0028	0.0452798122066	relaxation
12355	1.28	0.0029	0.0462456018519	intensification
12801	0.07	0.0029	0.0462456018519	relaxation
13729	0.68	0.0029	0.0462456018519	relaxation
15154	0.75	0.0029	0.0462456018519	relaxation
17216	0.07	0.0029	0.0462456018519	relaxation
19604	0.0	0.0029	0.0462456018519	relaxation
10739	0.71	0.003	0.0471849315068	relaxation
11784	0.81	0.003	0.0471849315068	relaxation
13087	50.0	0.003	0.0471849315068	intensification
13454	0.77	0.003	0.0471849315068	relaxation
13741	2.03	0.003	0.0471849315068	intensification
17232	2.45	0.003	0.0471849315068	intensification
11452	19.1	0.0031	0.0475632516704	intensification
13763	0.54	0.0031	0.0475632516704	relaxation
13925	0.7	0.0031	0.0475632516704	relaxation
14795	0.68	0.0031	0.0475632516704	relaxation
15364	0.06	0.0031	0.0475632516704	relaxation
15501	50.0	0.0031	0.0475632516704	intensification
16373	0.52	0.0031	0.0475632516704	relaxation
16634	0.76	0.0031	0.0475632516704	relaxation
17469	0.07	0.0031	0.0475632516704	relaxation
17532	1.86	0.0031	0.0475632516704	intensification
19443	2.16	0.0031	0.0475632516704	intensification
10481	0.81	0.0032	0.0487716814159	relaxation
14085	0.77	0.0032	0.0487716814159	relaxation
18438	3.34	0.0032	0.0487716814159	intensification
12019	0.73	0.0033	0.0494210869565	relaxation
12184	0.82	0.0033	0.0494210869565	relaxation
12309	0.51	0.0033	0.0494210869565	relaxation
13629	1.28	0.0033	0.0494210869565	intensification
15628	13.46	0.0033	0.0494210869565	intensification
15959	2.71	0.0033	0.0494210869565	intensification
16594	0.77	0.0033	0.0494210869565	relaxation
17791	0.32	0.0033	0.0494210869565	relaxation
10799	2.47	0.0034	0.0503711827957	intensification
13043	0.79	0.0034	0.0503711827957	relaxation
13373	0.63	0.0034	0.0503711827957	relaxation
15159	0.74	0.0034	0.0503711827957	relaxation
18064	0.6	0.0034	0.0503711827957	relaxation
14889	0.68	0.0035	0.0514104477612	relaxation
15864	0.65	0.0035	0.0514104477612	relaxation
15938	0.88	0.0035	0.0514104477612	relaxation
15946	0.64	0.0035	0.0514104477612	relaxation
10495	2.9	0.0036	0.0524321353066	intensification
15254	0.58	0.0036	0.0524321353066	relaxation
15878	0.74	0.0036	0.0524321353066	relaxation
16146	1.42	0.0036	0.0524321353066	intensification
16310	1.42	0.0037	0.0537748945148	intensification
12422	0.62	0.0038	0.0546517745303	relaxation
13574	4.78	0.0038	0.0546517745303	intensification
13610	0.0	0.0038	0.0546517745303	relaxation
14992	0.65	0.0038	0.0546517745303	relaxation
15143	0.73	0.0038	0.0546517745303	relaxation
12973	6.4	0.0039	0.0555105371901	intensification
14048	1.5	0.0039	0.0555105371901	intensification
14230	13.05	0.0039	0.0555105371901	intensification
16204	3.93	0.0039	0.0555105371901	intensification
19032	7.69	0.0039	0.0555105371901	intensification
11016	3.6	0.004	0.0562367346939	intensification
11944	0.82	0.004	0.0562367346939	relaxation
14907	0.0	0.004	0.0562367346939	relaxation
15035	0.85	0.004	0.0562367346939	relaxation
17183	0.66	0.004	0.0562367346939	relaxation
17841	0.71	0.004	0.0562367346939	relaxation
11856	1.42	0.0041	0.0574083333333	intensification
14973	3.29	0.0041	0.0574083333333	intensification
12697	0.67	0.0042	0.0584521212121	relaxation
14839	2.14	0.0042	0.0584521212121	intensification
16447	1.43	0.0042	0.0584521212121	intensification
10898	1.6	0.0043	0.0590093625498	intensification
14183	8.86	0.0043	0.0590093625498	intensification
14366	0.87	0.0043	0.0590093625498	relaxation
15500	0.74	0.0043	0.0590093625498	relaxation
17975	0.77	0.0043	0.0590093625498	relaxation
18588	23.32	0.0043	0.0590093625498	intensification
19448	3.74	0.0043	0.0590093625498	intensification
11455	22.22	0.0044	0.0595512770138	intensification
11755	1.29	0.0044	0.0595512770138	intensification
13081	50.0	0.0044	0.0595512770138	intensification
13372	0.69	0.0044	0.0595512770138	relaxation
14025	1.46	0.0044	0.0595512770138	intensification
14441	0.65	0.0044	0.0595512770138	relaxation
19095	0.46	0.0044	0.0595512770138	relaxation
13386	0.87	0.0045	0.0596163461538	relaxation
13958	0.13	0.0045	0.0596163461538	relaxation
14307	0.51	0.0045	0.0596163461538	relaxation
15001	0.54	0.0045	0.0596163461538	relaxation
15164	0.82	0.0045	0.0596163461538	relaxation
15743	1.54	0.0045	0.0596163461538	intensification
17191	1.72	0.0045	0.0596163461538	intensification
17357	2.59	0.0045	0.0596163461538	intensification
17368	0.68	0.0045	0.0596163461538	relaxation
18073	0.41	0.0045	0.0596163461538	relaxation
18611	0.0	0.0045	0.0596163461538	relaxation
12034	0.64	0.0047	0.0615557034221	relaxation
12476	2.59	0.0047	0.0615557034221	intensification
13303	0.78	0.0047	0.0615557034221	relaxation
15450	1.31	0.0047	0.0615557034221	intensification
15849	18.93	0.0047	0.0615557034221	intensification
19466	0.47	0.0047	0.0615557034221	relaxation
11239	0.65	0.0048	0.0625088846881	relaxation
16348	20.27	0.0048	0.0625088846881	intensification
16771	1.93	0.0048	0.0625088846881	intensification
11307	0.49	0.0049	0.0628605214153	relaxation
11709	0.72	0.0049	0.0628605214153	relaxation
12536	0.74	0.0049	0.0628605214153	relaxation
12673	1.99	0.0049	0.0628605214153	intensification
13243	0.49	0.0049	0.0628605214153	relaxation
14498	1.36	0.0049	0.0628605214153	intensification
18271	0.66	0.0049	0.0628605214153	relaxation
19211	0.05	0.0049	0.0628605214153	relaxation
12821	8.05	0.005	0.0632018348624	intensification
13773	0.46	0.005	0.0632018348624	relaxation
14084	0.68	0.005	0.0632018348624	relaxation
14693	1.25	0.005	0.0632018348624	intensification
14957	1.43	0.005	0.0632018348624	intensification
15077	50.0	0.005	0.0632018348624	intensification
18293	0.5	0.005	0.0632018348624	relaxation
18741	32.12	0.005	0.0632018348624	intensification
13424	0.15	0.0051	0.0641129562044	relaxation
14722	0.56	0.0051	0.0641129562044	relaxation
16609	9.06	0.0051	0.0641129562044	intensification
11884	21.6	0.0052	0.0647790235081	intensification
13052	0.72	0.0052	0.0647790235081	relaxation
13369	0.85	0.0052	0.0647790235081	relaxation
15244	5.74	0.0052	0.0647790235081	intensification
16350	1.77	0.0052	0.0647790235081	intensification
15371	4.75	0.0053	0.0653161001789	intensification
16189	1.79	0.0053	0.0653161001789	intensification
16608	0.83	0.0053	0.0653161001789	relaxation
17679	0.68	0.0053	0.0653161001789	relaxation
18138	1.73	0.0053	0.0653161001789	intensification
18359	0.0	0.0053	0.0653161001789	relaxation
10352	0.91	0.0054	0.0658417699115	relaxation
11471	0.49	0.0054	0.0658417699115	relaxation
12951	16.15	0.0054	0.0658417699115	intensification
13344	2.43	0.0054	0.0658417699115	intensification
15073	4.43	0.0054	0.0658417699115	intensification
17584	0.28	0.0054	0.0658417699115	relaxation
10600	0.7	0.0055	0.0663563922942	relaxation
10888	0.08	0.0055	0.0663563922942	relaxation
12989	50.0	0.0055	0.0663563922942	intensification
14975	3.66	0.0055	0.0663563922942	intensification
19320	1.37	0.0055	0.0663563922942	intensification
19639	1.39	0.0055	0.0663563922942	intensification
12154	14.11	0.0056	0.0670928695652	intensification
13021	1.36	0.0056	0.0670928695652	intensification
13520	1.83	0.0056	0.0670928695652	intensification
16202	0.66	0.0056	0.0670928695652	relaxation
10760	3.05	0.0057	0.0673538593482	intensification
11312	0.77	0.0057	0.0673538593482	relaxation
11764	0.72	0.0057	0.0673538593482	relaxation
12664	0.75	0.0057	0.0673538593482	relaxation
13759	0.62	0.0057	0.0673538593482	relaxation
16977	0.24	0.0057	0.0673538593482	relaxation
17953	0.62	0.0057	0.0673538593482	relaxation
18197	0.51	0.0057	0.0673538593482	relaxation
11279	0.78	0.0058	0.0678373514431	relaxation
11671	0.8	0.0058	0.0678373514431	relaxation
11745	0.19	0.0058	0.0678373514431	relaxation
13018	3.3	0.0058	0.0678373514431	intensification
14150	0.42	0.0058	0.0678373514431	relaxation
18988	2.22	0.0058	0.0678373514431	intensification
16158	0.57	0.0059	0.0685414839798	relaxation
16245	0.52	0.0059	0.0685414839798	relaxation
17846	1.42	0.0059	0.0685414839798	intensification
19042	2.15	0.0059	0.0685414839798	intensification
11832	2.23	0.006	0.0691204013378	intensification
13409	0.76	0.006	0.0691204013378	relaxation
14424	0.7	0.006	0.0691204013378	relaxation
