OG	K	P	FDR_P	interpretation
15409	2.74	0.0	0.0	intensification
15416	50.0	0.0	0.0	intensification
15476	0.48	0.0	0.0	relaxation
15549	12.61	0.0	0.0	intensification
15574	1.43	0.0	0.0	intensification
15833	50.0	0.0	0.0	intensification
15855	10.94	0.0	0.0	intensification
15859	0.47	0.0	0.0	relaxation
15876	0.64	0.0	0.0	relaxation
15949	37.29	0.0	0.0	intensification
15975	4.72	0.0	0.0	intensification
16015	0.59	0.0	0.0	relaxation
16035	0.08	0.0	0.0	relaxation
16071	0.64	0.0	0.0	relaxation
16210	0.0	0.0	0.0	relaxation
16305	50.0	0.0	0.0	intensification
16370	10.17	0.0	0.0	intensification
16451	13.44	0.0	0.0	intensification
16476	50.0	0.0	0.0	intensification
16487	0.38	0.0	0.0	relaxation
16494	0.53	0.0	0.0	relaxation
16560	4.37	0.0	0.0	intensification
16596	0.62	0.0	0.0	relaxation
16697	44.52	0.0	0.0	intensification
16771	2.3	0.0	0.0	intensification
16781	0.55	0.0	0.0	relaxation
16789	12.1	0.0	0.0	intensification
16799	0.66	0.0	0.0	relaxation
16836	49.5	0.0	0.0	intensification
16845	0.0	0.0	0.0	relaxation
16883	37.46	0.0	0.0	intensification
17006	2.22	0.0	0.0	intensification
17030	0.54	0.0	0.0	relaxation
17258	2.37	0.0	0.0	intensification
17298	27.03	0.0	0.0	intensification
17388	2.24	0.0	0.0	intensification
17451	9.51	0.0	0.0	intensification
17502	10.36	0.0	0.0	intensification
17582	0.46	0.0	0.0	relaxation
17719	11.74	0.0	0.0	intensification
17737	0.57	0.0	0.0	relaxation
17757	1.85	0.0	0.0	intensification
17841	0.46	0.0	0.0	relaxation
17846	0.0	0.0	0.0	relaxation
17912	0.44	0.0	0.0	relaxation
18003	3.24	0.0	0.0	intensification
18399	20.15	0.0	0.0	intensification
18478	25.15	0.0	0.0	intensification
19042	0.02	0.0	0.0	relaxation
19065	0.21	0.0	0.0	relaxation
10521	0.46	0.0001	0.0041993902439	relaxation
10611	0.53	0.0001	0.0041993902439	relaxation
10648	0.46	0.0001	0.0041993902439	relaxation
10782	1.4	0.0001	0.0041993902439	intensification
10949	5.46	0.0001	0.0041993902439	intensification
11162	0.72	0.0001	0.0041993902439	relaxation
11311	1.36	0.0001	0.0041993902439	intensification
11480	0.0	0.0001	0.0041993902439	relaxation
11500	3.96	0.0001	0.0041993902439	intensification
11710	43.92	0.0001	0.0041993902439	intensification
12011	0.36	0.0001	0.0041993902439	relaxation
12106	0.45	0.0001	0.0041993902439	relaxation
12139	0.82	0.0001	0.0041993902439	relaxation
12238	29.09	0.0001	0.0041993902439	intensification
12287	0.21	0.0001	0.0041993902439	relaxation
12565	2.79	0.0001	0.0041993902439	intensification
12641	0.65	0.0001	0.0041993902439	relaxation
12709	0.56	0.0001	0.0041993902439	relaxation
12774	0.32	0.0001	0.0041993902439	relaxation
12917	13.23	0.0001	0.0041993902439	intensification
13058	0.5	0.0001	0.0041993902439	relaxation
13064	0.56	0.0001	0.0041993902439	relaxation
13246	1.25	0.0001	0.0041993902439	intensification
13434	0.0	0.0001	0.0041993902439	relaxation
13443	11.34	0.0001	0.0041993902439	intensification
13651	0.63	0.0001	0.0041993902439	relaxation
13751	29.38	0.0001	0.0041993902439	intensification
13850	2.46	0.0001	0.0041993902439	intensification
13906	12.61	0.0001	0.0041993902439	intensification
14009	0.61	0.0001	0.0041993902439	relaxation
14201	0.56	0.0001	0.0041993902439	relaxation
14416	2.12	0.0001	0.0041993902439	intensification
14471	1.49	0.0001	0.0041993902439	intensification
14724	1.43	0.0001	0.0041993902439	intensification
15058	13.57	0.0001	0.0041993902439	intensification
15217	0.55	0.0001	0.0041993902439	relaxation
15891	50.0	0.0001	0.0041993902439	intensification
16058	0.58	0.0001	0.0041993902439	relaxation
16126	0.02	0.0001	0.0041993902439	relaxation
16304	1.32	0.0001	0.0041993902439	intensification
16521	50.0	0.0001	0.0041993902439	intensification
16542	50.0	0.0001	0.0041993902439	intensification
17553	3.39	0.0001	0.0041993902439	intensification
18012	50.0	0.0001	0.0041993902439	intensification
18543	2.19	0.0001	0.0041993902439	intensification
18620	3.55	0.0001	0.0041993902439	intensification
18903	2.62	0.0001	0.0041993902439	intensification
10483	0.55	0.0002	0.0071	relaxation
10540	0.7	0.0002	0.0071	relaxation
11105	0.57	0.0002	0.0071	relaxation
11112	2.18	0.0002	0.0071	intensification
11223	4.69	0.0002	0.0071	intensification
11339	0.7	0.0002	0.0071	relaxation
11403	5.67	0.0002	0.0071	intensification
11667	1.26	0.0002	0.0071	intensification
11890	0.7	0.0002	0.0071	relaxation
12360	11.1	0.0002	0.0071	intensification
12859	1.57	0.0002	0.0071	intensification
13444	0.54	0.0002	0.0071	relaxation
13945	2.7	0.0002	0.0071	intensification
14258	0.54	0.0002	0.0071	relaxation
14432	2.94	0.0002	0.0071	intensification
15125	0.67	0.0002	0.0071	relaxation
15664	0.58	0.0002	0.0071	relaxation
16032	0.58	0.0002	0.0071	relaxation
16097	2.26	0.0002	0.0071	intensification
16447	0.62	0.0002	0.0071	relaxation
16966	5.16	0.0002	0.0071	intensification
17249	31.67	0.0002	0.0071	intensification
17254	0.58	0.0002	0.0071	relaxation
17512	0.21	0.0002	0.0071	relaxation
17673	0.0	0.0002	0.0071	relaxation
17847	0.61	0.0002	0.0071	relaxation
18009	0.0	0.0002	0.0071	relaxation
18667	4.25	0.0002	0.0071	intensification
18757	11.22	0.0002	0.0071	intensification
19245	8.64	0.0002	0.0071	intensification
10477	0.61	0.0003	0.00988564593301	relaxation
10776	2.23	0.0003	0.00988564593301	intensification
11395	4.46	0.0003	0.00988564593301	intensification
11677	18.15	0.0003	0.00988564593301	intensification
12610	1.4	0.0003	0.00988564593301	intensification
12812	0.38	0.0003	0.00988564593301	relaxation
13232	5.29	0.0003	0.00988564593301	intensification
14736	0.44	0.0003	0.00988564593301	relaxation
14899	0.74	0.0003	0.00988564593301	relaxation
15338	2.06	0.0003	0.00988564593301	intensification
16271	7.04	0.0003	0.00988564593301	intensification
16653	0.18	0.0003	0.00988564593301	relaxation
17285	0.49	0.0003	0.00988564593301	relaxation
17491	5.16	0.0003	0.00988564593301	intensification
18724	50.0	0.0003	0.00988564593301	intensification
10506	0.66	0.0004	0.0120296943231	relaxation
10754	0.0	0.0004	0.0120296943231	relaxation
10854	0.62	0.0004	0.0120296943231	relaxation
10986	1.28	0.0004	0.0120296943231	intensification
11484	0.66	0.0004	0.0120296943231	relaxation
11810	0.66	0.0004	0.0120296943231	relaxation
12772	0.41	0.0004	0.0120296943231	relaxation
12835	0.7	0.0004	0.0120296943231	relaxation
12883	2.92	0.0004	0.0120296943231	intensification
13366	50.0	0.0004	0.0120296943231	intensification
13404	0.2	0.0004	0.0120296943231	relaxation
13469	1.48	0.0004	0.0120296943231	intensification
14073	4.52	0.0004	0.0120296943231	intensification
15389	10.48	0.0004	0.0120296943231	intensification
15873	1.55	0.0004	0.0120296943231	intensification
16249	20.24	0.0004	0.0120296943231	intensification
17337	20.07	0.0004	0.0120296943231	intensification
17339	0.0	0.0004	0.0120296943231	relaxation
18276	3.86	0.0004	0.0120296943231	intensification
19320	1.61	0.0004	0.0120296943231	intensification
11195	1.8	0.0005	0.0135570866142	intensification
11682	0.04	0.0005	0.0135570866142	relaxation
12040	4.03	0.0005	0.0135570866142	intensification
12552	50.0	0.0005	0.0135570866142	intensification
12592	1.59	0.0005	0.0135570866142	intensification
12725	20.6	0.0005	0.0135570866142	intensification
13358	1.64	0.0005	0.0135570866142	intensification
13507	2.78	0.0005	0.0135570866142	intensification
14042	3.18	0.0005	0.0135570866142	intensification
14358	1.66	0.0005	0.0135570866142	intensification
14464	0.63	0.0005	0.0135570866142	relaxation
14553	0.0	0.0005	0.0135570866142	relaxation
14592	5.42	0.0005	0.0135570866142	intensification
14626	0.5	0.0005	0.0135570866142	relaxation
14716	3.2	0.0005	0.0135570866142	intensification
14775	2.43	0.0005	0.0135570866142	intensification
14959	0.77	0.0005	0.0135570866142	relaxation
15399	1.3	0.0005	0.0135570866142	intensification
15571	1.93	0.0005	0.0135570866142	intensification
15692	0.56	0.0005	0.0135570866142	relaxation
16255	0.67	0.0005	0.0135570866142	relaxation
16976	2.47	0.0005	0.0135570866142	intensification
17209	0.65	0.0005	0.0135570866142	relaxation
17664	10.82	0.0005	0.0135570866142	intensification
19089	12.41	0.0005	0.0135570866142	intensification
10950	0.78	0.0006	0.01536133829	relaxation
11287	0.35	0.0006	0.01536133829	relaxation
11632	1.84	0.0006	0.01536133829	intensification
11789	1.25	0.0006	0.01536133829	intensification
12047	0.0	0.0006	0.01536133829	relaxation
12413	3.35	0.0006	0.01536133829	intensification
12995	14.84	0.0006	0.01536133829	intensification
13832	0.52	0.0006	0.01536133829	relaxation
14783	0.53	0.0006	0.01536133829	relaxation
14871	0.53	0.0006	0.01536133829	relaxation
14915	50.0	0.0006	0.01536133829	intensification
17622	7.15	0.0006	0.01536133829	intensification
17740	0.57	0.0006	0.01536133829	relaxation
18013	50.0	0.0006	0.01536133829	intensification
18866	50.0	0.0006	0.01536133829	intensification
11290	0.64	0.0007	0.017156227758	relaxation
11759	50.0	0.0007	0.017156227758	intensification
12916	49.0	0.0007	0.017156227758	intensification
13038	0.44	0.0007	0.017156227758	relaxation
14218	0.66	0.0007	0.017156227758	relaxation
14456	2.69	0.0007	0.017156227758	intensification
14494	0.66	0.0007	0.017156227758	relaxation
15689	0.52	0.0007	0.017156227758	relaxation
15903	0.65	0.0007	0.017156227758	relaxation
16146	1.8	0.0007	0.017156227758	intensification
16273	0.56	0.0007	0.017156227758	relaxation
17765	7.4	0.0007	0.017156227758	intensification
10926	0.7	0.0008	0.0188040955631	relaxation
11709	2.07	0.0008	0.0188040955631	intensification
11833	3.78	0.0008	0.0188040955631	intensification
11899	0.16	0.0008	0.0188040955631	relaxation
12350	11.75	0.0008	0.0188040955631	intensification
12927	50.0	0.0008	0.0188040955631	intensification
13452	0.68	0.0008	0.0188040955631	relaxation
14933	24.63	0.0008	0.0188040955631	intensification
15424	2.49	0.0008	0.0188040955631	intensification
15731	0.0	0.0008	0.0188040955631	relaxation
16336	0.1	0.0008	0.0188040955631	relaxation
16686	0.25	0.0008	0.0188040955631	relaxation
12085	0.0	0.0009	0.020059223301	relaxation
12141	1.39	0.0009	0.020059223301	intensification
12416	5.07	0.0009	0.020059223301	intensification
13092	1.76	0.0009	0.020059223301	intensification
13531	1.38	0.0009	0.020059223301	intensification
13900	47.54	0.0009	0.020059223301	intensification
13957	6.97	0.0009	0.020059223301	intensification
15000	2.42	0.0009	0.020059223301	intensification
15016	2.61	0.0009	0.020059223301	intensification
15292	2.38	0.0009	0.020059223301	intensification
16136	1.46	0.0009	0.020059223301	intensification
16722	0.69	0.0009	0.020059223301	relaxation
17050	0.53	0.0009	0.020059223301	relaxation
17184	0.81	0.0009	0.020059223301	relaxation
17885	0.58	0.0009	0.020059223301	relaxation
18737	0.33	0.0009	0.020059223301	relaxation
14091	0.09	0.001	0.0213881987578	relaxation
14116	1.34	0.001	0.0213881987578	intensification
14521	1.31	0.001	0.0213881987578	intensification
14784	0.4	0.001	0.0213881987578	relaxation
14869	1.41	0.001	0.0213881987578	intensification
15221	2.02	0.001	0.0213881987578	intensification
15468	10.87	0.001	0.0213881987578	intensification
15516	1.57	0.001	0.0213881987578	intensification
15696	50.0	0.001	0.0213881987578	intensification
16333	1.36	0.001	0.0213881987578	intensification
17362	50.0	0.001	0.0213881987578	intensification
17400	50.0	0.001	0.0213881987578	intensification
18786	0.42	0.001	0.0213881987578	relaxation
12123	50.0	0.0011	0.022818373494	intensification
13415	0.61	0.0011	0.022818373494	relaxation
13889	18.58	0.0011	0.022818373494	intensification
14750	2.9	0.0011	0.022818373494	intensification
14955	0.17	0.0011	0.022818373494	relaxation
15197	16.92	0.0011	0.022818373494	intensification
15293	1.58	0.0011	0.022818373494	intensification
16014	0.58	0.0011	0.022818373494	relaxation
16454	0.71	0.0011	0.022818373494	relaxation
17395	16.45	0.0011	0.022818373494	intensification
11235	0.2	0.0012	0.0238855491329	relaxation
11733	0.58	0.0012	0.0238855491329	relaxation
13312	2.51	0.0012	0.0238855491329	intensification
13693	0.55	0.0012	0.0238855491329	relaxation
14372	0.48	0.0012	0.0238855491329	relaxation
15414	1.45	0.0012	0.0238855491329	intensification
15646	2.87	0.0012	0.0238855491329	intensification
15684	0.61	0.0012	0.0238855491329	relaxation
15931	13.03	0.0012	0.0238855491329	intensification
16643	0.75	0.0012	0.0238855491329	relaxation
17472	1.37	0.0012	0.0238855491329	intensification
18169	0.52	0.0012	0.0238855491329	relaxation
18293	2.52	0.0012	0.0238855491329	intensification
18388	0.72	0.0012	0.0238855491329	relaxation
11400	9.88	0.0013	0.0250086592179	intensification
11442	28.16	0.0013	0.0250086592179	intensification
12578	0.1	0.0013	0.0250086592179	relaxation
12982	0.0	0.0013	0.0250086592179	relaxation
13231	0.71	0.0013	0.0250086592179	relaxation
13497	3.32	0.0013	0.0250086592179	intensification
13783	0.68	0.0013	0.0250086592179	relaxation
14828	12.88	0.0013	0.0250086592179	intensification
16710	5.57	0.0013	0.0250086592179	intensification
17146	2.11	0.0013	0.0250086592179	intensification
18045	2.6	0.0013	0.0250086592179	intensification
18150	0.07	0.0013	0.0250086592179	relaxation
13616	0.64	0.0014	0.0267085872576	relaxation
14282	0.66	0.0014	0.0267085872576	relaxation
14946	0.08	0.0014	0.0267085872576	relaxation
12509	1.8	0.0015	0.0278450134771	intensification
13668	2.05	0.0015	0.0278450134771	intensification
14234	0.64	0.0015	0.0278450134771	relaxation
14446	0.08	0.0015	0.0278450134771	relaxation
16141	0.5	0.0015	0.0278450134771	relaxation
16342	2.56	0.0015	0.0278450134771	intensification
17363	0.54	0.0015	0.0278450134771	relaxation
17645	38.5	0.0015	0.0278450134771	intensification
17743	0.65	0.0015	0.0278450134771	relaxation
18891	1.59	0.0015	0.0278450134771	intensification
14366	0.87	0.0016	0.0292286472149	relaxation
15055	0.6	0.0016	0.0292286472149	relaxation
15458	0.79	0.0016	0.0292286472149	relaxation
15502	47.12	0.0016	0.0292286472149	intensification
17570	2.93	0.0016	0.0292286472149	intensification
18647	0.27	0.0016	0.0292286472149	relaxation
10631	14.61	0.0017	0.030175	intensification
11688	2.36	0.0017	0.030175	intensification
11858	50.0	0.0017	0.030175	intensification
12214	3.14	0.0017	0.030175	intensification
12601	50.0	0.0017	0.030175	intensification
14052	4.61	0.0017	0.030175	intensification
16706	0.03	0.0017	0.030175	relaxation
17117	0.0	0.0017	0.030175	relaxation
18147	50.0	0.0017	0.030175	intensification
18166	1.7	0.0017	0.030175	intensification
18320	46.85	0.0017	0.030175	intensification
13445	1.48	0.0018	0.0315435114504	intensification
14478	1.61	0.0018	0.0315435114504	intensification
15986	0.6	0.0018	0.0315435114504	relaxation
16053	0.71	0.0018	0.0315435114504	relaxation
17927	1.99	0.0018	0.0315435114504	intensification
12833	0.21	0.0019	0.0329604534005	relaxation
16276	14.21	0.0019	0.0329604534005	intensification
17034	2.18	0.0019	0.0329604534005	intensification
17053	28.94	0.0019	0.0329604534005	intensification
11699	1.5	0.002	0.0340940594059	intensification
12842	0.12	0.002	0.0340940594059	relaxation
13372	0.61	0.002	0.0340940594059	relaxation
15310	2.31	0.002	0.0340940594059	intensification
16621	0.45	0.002	0.0340940594059	relaxation
16953	2.29	0.002	0.0340940594059	intensification
18330	9.66	0.002	0.0340940594059	intensification
14423	0.75	0.0021	0.0355348894349	relaxation
16514	2.01	0.0021	0.0355348894349	intensification
17448	15.33	0.0021	0.0355348894349	intensification
12429	2.24	0.0022	0.0366861985472	intensification
13137	0.46	0.0022	0.0366861985472	relaxation
13988	39.23	0.0022	0.0366861985472	intensification
15387	1.43	0.0022	0.0366861985472	intensification
16002	4.03	0.0022	0.0366861985472	intensification
17904	0.59	0.0022	0.0366861985472	relaxation
12146	0.5	0.0023	0.0378949760766	relaxation
12325	14.94	0.0023	0.0378949760766	intensification
13463	1.32	0.0023	0.0378949760766	intensification
14678	1.41	0.0023	0.0378949760766	intensification
17572	6.16	0.0023	0.0378949760766	intensification
10979	1.66	0.0024	0.0389830188679	intensification
12056	2.06	0.0024	0.0389830188679	intensification
13164	1.54	0.0024	0.0389830188679	intensification
13724	50.0	0.0024	0.0389830188679	intensification
15769	0.62	0.0024	0.0389830188679	relaxation
16385	0.62	0.0024	0.0389830188679	relaxation
10246	0.66	0.0025	0.0403220140515	relaxation
18126	2.79	0.0025	0.0403220140515	intensification
18774	0.0	0.0025	0.0403220140515	relaxation
11406	2.1	0.0026	0.0411636781609	intensification
12023	1.85	0.0026	0.0411636781609	intensification
12436	1.58	0.0026	0.0411636781609	intensification
13669	0.62	0.0026	0.0411636781609	relaxation
13691	0.4	0.0026	0.0411636781609	relaxation
14888	0.48	0.0026	0.0411636781609	relaxation
14938	0.66	0.0026	0.0411636781609	relaxation
15189	1.51	0.0026	0.0411636781609	intensification
10740	0.17	0.0027	0.0421653061224	relaxation
11373	1.41	0.0027	0.0421653061224	intensification
12177	0.16	0.0027	0.0421653061224	relaxation
12981	7.25	0.0027	0.0421653061224	intensification
13777	1.3	0.0027	0.0421653061224	intensification
14280	0.53	0.0027	0.0421653061224	relaxation
11018	1.2	0.0028	0.04304375	intensification
11508	13.31	0.0028	0.04304375	intensification
11975	0.35	0.0028	0.04304375	relaxation
12688	2.09	0.0028	0.04304375	intensification
12776	0.52	0.0028	0.04304375	relaxation
13044	27.53	0.0028	0.04304375	intensification
15231	0.01	0.0028	0.04304375	relaxation
11868	0.57	0.0029	0.0439918502203	relaxation
12182	0.49	0.0029	0.0439918502203	relaxation
12545	4.84	0.0029	0.0439918502203	intensification
13624	9.93	0.0029	0.0439918502203	intensification
14930	7.02	0.0029	0.0439918502203	intensification
15477	0.7	0.0029	0.0439918502203	relaxation
13825	4.73	0.003	0.0453092105263	intensification
17865	50.0	0.003	0.0453092105263	intensification
15124	0.4	0.0031	0.0466150655022	relaxation
15352	50.0	0.0031	0.0466150655022	intensification
10469	0.62	0.0032	0.0473944086022	relaxation
10589	3.38	0.0032	0.0473944086022	intensification
12294	12.05	0.0032	0.0473944086022	intensification
14889	0.09	0.0032	0.0473944086022	relaxation
14980	1.49	0.0032	0.0473944086022	intensification
15406	21.11	0.0032	0.0473944086022	intensification
19099	0.4	0.0032	0.0473944086022	relaxation
10818	2.22	0.0033	0.0481506355932	intensification
12444	0.0	0.0033	0.0481506355932	relaxation
12951	2.25	0.0033	0.0481506355932	intensification
13752	1.71	0.0033	0.0481506355932	intensification
13801	3.37	0.0033	0.0481506355932	intensification
15213	1.4	0.0033	0.0481506355932	intensification
16808	0.47	0.0033	0.0481506355932	relaxation
11725	1.41	0.0035	0.0506397058824	intensification
12331	0.74	0.0035	0.0506397058824	relaxation
13993	0.72	0.0035	0.0506397058824	relaxation
14410	3.46	0.0035	0.0506397058824	intensification
13188	0.66	0.0036	0.0512256198347	relaxation
14548	2.37	0.0036	0.0512256198347	intensification
14911	2.62	0.0036	0.0512256198347	intensification
15204	0.69	0.0036	0.0512256198347	relaxation
15218	8.51	0.0036	0.0512256198347	intensification
16030	0.64	0.0036	0.0512256198347	relaxation
16590	7.71	0.0036	0.0512256198347	intensification
19110	0.71	0.0036	0.0512256198347	relaxation
12662	2.02	0.0037	0.0521102249489	intensification
14870	24.51	0.0037	0.0521102249489	intensification
15281	0.82	0.0037	0.0521102249489	relaxation
16367	23.28	0.0037	0.0521102249489	intensification
18636	0.51	0.0037	0.0521102249489	relaxation
14032	0.74	0.0038	0.0531922764228	relaxation
14762	0.8	0.0038	0.0531922764228	relaxation
16471	21.16	0.0038	0.0531922764228	intensification
12695	1.57	0.0039	0.0541518145161	intensification
13118	6.56	0.0039	0.0541518145161	intensification
14486	2.38	0.0039	0.0541518145161	intensification
17829	0.51	0.0039	0.0541518145161	relaxation
11485	0.71	0.0041	0.0561365805169	relaxation
12095	0.71	0.0041	0.0561365805169	relaxation
12321	0.71	0.0041	0.0561365805169	relaxation
14090	1.58	0.0041	0.0561365805169	intensification
16611	0.78	0.0041	0.0561365805169	relaxation
17325	2.36	0.0041	0.0561365805169	intensification
18094	2.4	0.0041	0.0561365805169	intensification
13278	2.56	0.0042	0.0568278978389	intensification
13874	2.3	0.0042	0.0568278978389	intensification
15773	0.81	0.0042	0.0568278978389	relaxation
16959	1.67	0.0042	0.0568278978389	intensification
17157	1.53	0.0042	0.0568278978389	intensification
18519	4.27	0.0042	0.0568278978389	intensification
11771	0.49	0.0043	0.0578400390625	relaxation
14314	1.41	0.0043	0.0578400390625	intensification
15510	4.26	0.0043	0.0578400390625	intensification
10660	0.74	0.0044	0.0588403883495	relaxation
11203	0.79	0.0044	0.0588403883495	relaxation
13263	2.57	0.0044	0.0588403883495	intensification
15691	0.71	0.0045	0.0599448742747	relaxation
16831	16.56	0.0045	0.0599448742747	intensification
10564	0.8	0.0046	0.0605739961759	relaxation
12577	5.76	0.0046	0.0605739961759	intensification
12796	0.14	0.0046	0.0605739961759	relaxation
14426	0.67	0.0046	0.0605739961759	relaxation
16366	1.82	0.0046	0.0605739961759	intensification
18627	0.19	0.0046	0.0605739961759	relaxation
12861	1.3	0.0047	0.0614210626186	intensification
13276	1.32	0.0047	0.0614210626186	intensification
16248	1.59	0.0047	0.0614210626186	intensification
18988	2.05	0.0047	0.0614210626186	intensification
11596	0.52	0.0048	0.0623728301887	relaxation
13043	0.78	0.0048	0.0623728301887	relaxation
18722	2.48	0.0048	0.0623728301887	intensification
10722	1.17	0.0049	0.0629595149254	intensification
10793	1.74	0.0049	0.0629595149254	intensification
11471	1.46	0.0049	0.0629595149254	intensification
12409	0.0	0.0049	0.0629595149254	relaxation
12818	10.18	0.0049	0.0629595149254	intensification
15464	2.89	0.0049	0.0629595149254	intensification
13537	0.76	0.005	0.0637685185185	relaxation
15183	0.42	0.005	0.0637685185185	relaxation
15567	20.19	0.005	0.0637685185185	intensification
16874	0.0	0.005	0.0637685185185	relaxation
13352	0.59	0.0051	0.0646845303867	relaxation
13854	0.72	0.0051	0.0646845303867	relaxation
13887	0.69	0.0051	0.0646845303867	relaxation
12379	2.41	0.0052	0.0653510948905	intensification
14526	1.57	0.0052	0.0653510948905	intensification
14740	0.58	0.0052	0.0653510948905	relaxation
15469	0.39	0.0052	0.0653510948905	relaxation
19598	0.21	0.0052	0.0653510948905	relaxation
10900	0.85	0.0053	0.0661251811594	relaxation
13582	1.77	0.0053	0.0661251811594	intensification
14602	3.25	0.0053	0.0661251811594	intensification
16679	1.23	0.0053	0.0661251811594	intensification
13496	0.59	0.0054	0.0671296028881	relaxation
14136	9.57	0.0054	0.0671296028881	intensification
12979	0.76	0.0055	0.0676401785714	relaxation
13270	3.18	0.0055	0.0676401785714	intensification
14094	7.56	0.0055	0.0676401785714	intensification
14619	17.91	0.0055	0.0676401785714	intensification
15130	0.0	0.0055	0.0676401785714	relaxation
17103	0.5	0.0055	0.0676401785714	relaxation
12497	3.29	0.0056	0.0680197530864	intensification
15008	9.91	0.0056	0.0680197530864	intensification
16441	0.19	0.0056	0.0680197530864	relaxation
17510	0.68	0.0056	0.0680197530864	relaxation
17755	13.35	0.0056	0.0680197530864	intensification
17935	0.56	0.0056	0.0680197530864	relaxation
18138	0.17	0.0056	0.0680197530864	relaxation
12557	3.37	0.0057	0.06887	intensification
15990	0.73	0.0057	0.06887	relaxation
18991	9.41	0.0057	0.06887	intensification
13144	1.47	0.0058	0.0699555166375	intensification
11663	0.53	0.0059	0.0707897212544	relaxation
13215	7.45	0.0059	0.0707897212544	intensification
15776	0.59	0.0059	0.0707897212544	relaxation
16665	13.45	0.006	0.0717395833333	intensification
16965	1.45	0.006	0.0717395833333	intensification
11531	1.8	0.0061	0.0726828719723	intensification
18912	4.81	0.0061	0.0726828719723	intensification
13734	2.12	0.0062	0.0734929432014	intensification
14583	0.38	0.0062	0.0734929432014	relaxation
17453	0.43	0.0062	0.0734929432014	relaxation
14958	0.57	0.0063	0.0740411262799	relaxation
15735	1.22	0.0063	0.0740411262799	intensification
16858	2.47	0.0063	0.0740411262799	intensification
18721	6.9	0.0063	0.0740411262799	intensification
19315	0.4	0.0063	0.0740411262799	relaxation
11749	1.44	0.0064	0.0749605442177	intensification
12441	3.95	0.0064	0.0749605442177	intensification
11737	11.85	0.0065	0.0757453468697	intensification
12433	4.51	0.0065	0.0757453468697	intensification
16784	1.78	0.0065	0.0757453468697	intensification
13841	2.94	0.0066	0.0765222222222	intensification
14027	1.18	0.0066	0.0765222222222	intensification
16432	0.77	0.0066	0.0765222222222	relaxation
10518	1.32	0.0067	0.0770332220367	intensification
14647	0.77	0.0067	0.0770332220367	relaxation
14790	0.6	0.0067	0.0770332220367	relaxation
14822	0.69	0.0067	0.0770332220367	relaxation
17609	0.55	0.0067	0.0770332220367	relaxation
11168	0.52	0.0068	0.0777933554817	relaxation
13547	50.0	0.0068	0.0777933554817	intensification
17676	0.45	0.0068	0.0777933554817	relaxation
10607	0.78	0.0069	0.0784163366337	relaxation
11364	0.07	0.0069	0.0784163366337	relaxation
