OG	P	FDR_P	numtax	bp
16669	7e-06	0.00050344	19	2931
17020	7e-06	0.00050344	17	1179
10712	8e-06	0.000566299212598	17	486
15601	8e-06	0.000566299212598	17	2169
11611	1e-05	0.000686259541985	16	882
14856	1e-05	0.000686259541985	19	1665
16603	1e-05	0.000686259541985	19	13257
19082	1e-05	0.000686259541985	12	450
11162	2e-05	0.00127517730496	18	11565
11354	2e-05	0.00127517730496	17	1632
11361	2e-05	0.00127517730496	18	5886
14468	2e-05	0.00127517730496	19	7395
15214	2e-05	0.00127517730496	19	1446
15358	2e-05	0.00127517730496	19	1419
15953	2e-05	0.00127517730496	19	4326
17172	2e-05	0.00127517730496	17	1857
19361	2e-05	0.00127517730496	15	5235
20024	2e-05	0.00127517730496	10	603
10981	3e-05	0.00187291666667	16	2622
12385	3e-05	0.00187291666667	19	1311
18134	3e-05	0.00187291666667	18	558
11135	4e-05	0.0024462585034	16	3597
14973	4e-05	0.0024462585034	19	2586
19044	4e-05	0.0024462585034	15	630
11709	5e-05	0.00291883116883	18	2031
12812	5e-05	0.00291883116883	19	1815
13050	5e-05	0.00291883116883	19	12702
13793	5e-05	0.00291883116883	19	2751
16950	5e-05	0.00291883116883	17	684
19463	5e-05	0.00291883116883	14	522
19799	5e-05	0.00291883116883	10	840
11954	6e-05	0.00335031055901	18	4986
12409	6e-05	0.00335031055901	19	1176
14343	6e-05	0.00335031055901	19	5262
15270	6e-05	0.00335031055901	19	2082
16656	6e-05	0.00335031055901	19	453
17348	6e-05	0.00335031055901	18	2133
17853	6e-05	0.00335031055901	16	489
10992	7e-05	0.00379096385542	17	2181
11724	7e-05	0.00379096385542	19	6387
14734	7e-05	0.00379096385542	19	984
16129	7e-05	0.00379096385542	19	1920
19214	7e-05	0.00379096385542	14	573
11145	8e-05	0.00420584795322	18	2679
12251	8e-05	0.00420584795322	18	6177
12866	8e-05	0.00420584795322	19	3528
17580	8e-05	0.00420584795322	18	3843
17757	8e-05	0.00420584795322	17	1980
10904	9e-05	0.00462342857143	15	2484
12531	9e-05	0.00462342857143	19	5130
12784	9e-05	0.00462342857143	19	705
15814	9e-05	0.00462342857143	13	2268
10637	0.0001	0.00470680628272	12	807
11799	0.0001	0.00470680628272	19	6798
12901	0.0001	0.00470680628272	19	4284
12943	0.0001	0.00470680628272	19	15552
13062	0.0001	0.00470680628272	18	876
13184	0.0001	0.00470680628272	19	2454
14174	0.0001	0.00470680628272	16	1461
14480	0.0001	0.00470680628272	19	9483
14483	0.0001	0.00470680628272	18	378
14699	0.0001	0.00470680628272	16	858
14720	0.0001	0.00470680628272	18	1632
16835	0.0001	0.00470680628272	17	1359
17386	0.0001	0.00470680628272	15	318
17697	0.0001	0.00470680628272	18	1209
18788	0.0001	0.00470680628272	17	798
19479	0.0001	0.00470680628272	13	498
10287	0.0002	0.00877073170732	11	2694
10786	0.0002	0.00877073170732	17	4005
10957	0.0002	0.00877073170732	18	1383
12354	0.0002	0.00877073170732	18	1488
12358	0.0002	0.00877073170732	18	1035
13167	0.0002	0.00877073170732	19	6852
14344	0.0002	0.00877073170732	19	1818
14473	0.0002	0.00877073170732	19	966
15223	0.0002	0.00877073170732	18	474
18204	0.0002	0.00877073170732	15	657
18309	0.0002	0.00877073170732	16	642
19055	0.0002	0.00877073170732	13	774
19306	0.0002	0.00877073170732	14	330
19838	0.0002	0.00877073170732	11	423
11010	0.0003	0.012371559633	14	1680
11210	0.0003	0.012371559633	13	531
12462	0.0003	0.012371559633	19	2193
13415	0.0003	0.012371559633	19	3486
13572	0.0003	0.012371559633	19	5031
15039	0.0003	0.012371559633	18	516
16370	0.0003	0.012371559633	19	480
16595	0.0003	0.012371559633	15	558
18521	0.0003	0.012371559633	13	4737
19068	0.0003	0.012371559633	16	822
19205	0.0003	0.012371559633	14	711
19525	0.0003	0.012371559633	14	2721
19856	0.0003	0.012371559633	11	468
13832	0.0004	0.0159822222222	19	10260
14218	0.0004	0.0159822222222	19	4881
15128	0.0004	0.0159822222222	17	2409
15562	0.0004	0.0159822222222	19	2742
16733	0.0004	0.0159822222222	19	3429
18158	0.0004	0.0159822222222	16	1062
19366	0.0004	0.0159822222222	13	354
12240	0.0005	0.0196288209607	19	3807
17364	0.0005	0.0196288209607	16	501
17503	0.0005	0.0196288209607	17	2049
18163	0.0005	0.0196288209607	17	2175
10360	0.001	0.0323381294964	11	5244
10536	0.001	0.0323381294964	14	1749
10674	0.001	0.0323381294964	12	873
10722	0.001	0.0323381294964	14	5913
11026	0.001	0.0323381294964	17	6789
11118	0.001	0.0323381294964	17	2412
11144	0.001	0.0323381294964	17	6060
11192	0.001	0.0323381294964	16	2082
11252	0.001	0.0323381294964	19	1893
11255	0.001	0.0323381294964	14	843
11319	0.001	0.0323381294964	17	585
11453	0.001	0.0323381294964	14	2013
11813	0.001	0.0323381294964	15	984
12029	0.001	0.0323381294964	9	4269
12188	0.001	0.0323381294964	17	4419
12365	0.001	0.0323381294964	17	2529
12610	0.001	0.0323381294964	19	4437
12876	0.001	0.0323381294964	19	7299
13028	0.001	0.0323381294964	19	1614
13065	0.001	0.0323381294964	19	5913
13198	0.001	0.0323381294964	19	585
13647	0.001	0.0323381294964	19	1443
13821	0.001	0.0323381294964	19	4608
13926	0.001	0.0323381294964	16	498
13993	0.001	0.0323381294964	15	1374
14059	0.001	0.0323381294964	18	1662
14088	0.001	0.0323381294964	18	1839
14449	0.001	0.0323381294964	19	15075
14577	0.001	0.0323381294964	19	2766
14738	0.001	0.0323381294964	19	1179
14761	0.001	0.0323381294964	17	1158
14946	0.001	0.0323381294964	18	6573
15409	0.001	0.0323381294964	19	5823
15435	0.001	0.0323381294964	18	1650
16270	0.001	0.0323381294964	19	648
16866	0.001	0.0323381294964	19	2382
17184	0.001	0.0323381294964	17	7677
17219	0.001	0.0323381294964	12	1059
17366	0.001	0.0323381294964	18	2637
17428	0.001	0.0323381294964	11	486
17792	0.001	0.0323381294964	18	3969
17808	0.001	0.0323381294964	18	4143
17928	0.001	0.0323381294964	18	2616
18237	0.001	0.0323381294964	18	3279
18368	0.001	0.0323381294964	16	762
18868	0.001	0.0323381294964	12	642
19219	0.001	0.0323381294964	13	1041
19231	0.001	0.0323381294964	15	969
19350	0.001	0.0323381294964	15	885
10396	0.002	0.0572611464968	19	7827
10693	0.002	0.0572611464968	16	4461
10753	0.002	0.0572611464968	17	1428
10933	0.002	0.0572611464968	15	558
11263	0.002	0.0572611464968	17	639
11476	0.002	0.0572611464968	18	2364
11647	0.002	0.0572611464968	18	1875
11869	0.002	0.0572611464968	16	1731
12121	0.002	0.0572611464968	19	2022
12184	0.002	0.0572611464968	19	5865
12418	0.002	0.0572611464968	19	6246
12696	0.002	0.0572611464968	19	2355
13199	0.002	0.0572611464968	19	2829
13287	0.002	0.0572611464968	19	1443
13919	0.002	0.0572611464968	19	924
14707	0.002	0.0572611464968	18	3342
14781	0.002	0.0572611464968	19	1638
14860	0.002	0.0572611464968	18	11256
14872	0.002	0.0572611464968	19	3033
15568	0.002	0.0572611464968	18	2046
15697	0.002	0.0572611464968	19	3690
15868	0.002	0.0572611464968	19	2349
15935	0.002	0.0572611464968	16	1143
16225	0.002	0.0572611464968	19	2895
16379	0.002	0.0572611464968	19	1047
17005	0.002	0.0572611464968	18	1746
17038	0.002	0.0572611464968	18	2202
17078	0.002	0.0572611464968	18	1122
17625	0.002	0.0572611464968	18	516
17783	0.002	0.0572611464968	18	2169
18027	0.002	0.0572611464968	13	357
18245	0.002	0.0572611464968	14	1548
18280	0.002	0.0572611464968	15	444
18873	0.002	0.0572611464968	16	411
19215	0.002	0.0572611464968	14	2988
19292	0.002	0.0572611464968	11	648
10355	0.003	0.0781739130435	14	12177
11728	0.003	0.0781739130435	18	8604
11817	0.003	0.0781739130435	18	2214
12078	0.003	0.0781739130435	18	606
12308	0.003	0.0781739130435	18	1005
12336	0.003	0.0781739130435	18	1143
12990	0.003	0.0781739130435	19	5544
13172	0.003	0.0781739130435	19	321
13325	0.003	0.0781739130435	19	5889
14163	0.003	0.0781739130435	17	1197
14445	0.003	0.0781739130435	19	579
14660	0.003	0.0781739130435	19	1116
14766	0.003	0.0781739130435	17	579
14902	0.003	0.0781739130435	19	3981
15116	0.003	0.0781739130435	19	4653
15295	0.003	0.0781739130435	19	2190
15303	0.003	0.0781739130435	15	471
15362	0.003	0.0781739130435	19	4800
15797	0.003	0.0781739130435	19	903
15862	0.003	0.0781739130435	19	867
15982	0.003	0.0781739130435	19	1620
16576	0.003	0.0781739130435	19	1875
16680	0.003	0.0781739130435	19	13884
17334	0.003	0.0781739130435	18	3366
17365	0.003	0.0781739130435	18	2580
17563	0.003	0.0781739130435	18	591
17775	0.003	0.0781739130435	18	3447
18101	0.003	0.0781739130435	18	684
18159	0.003	0.0781739130435	18	1644
18922	0.003	0.0781739130435	15	492
19584	0.003	0.0781739130435	14	561
10675	0.004	0.0948812664908	18	2676
10717	0.004	0.0948812664908	17	4140
10810	0.004	0.0948812664908	18	594
10974	0.004	0.0948812664908	10	603
11133	0.004	0.0948812664908	17	4227
11234	0.004	0.0948812664908	17	1230
11268	0.004	0.0948812664908	19	17451
11289	0.004	0.0948812664908	18	4191
11326	0.004	0.0948812664908	17	2010
11371	0.004	0.0948812664908	19	4794
11486	0.004	0.0948812664908	19	1842
12090	0.004	0.0948812664908	19	2700
13368	0.004	0.0948812664908	19	1233
13376	0.004	0.0948812664908	19	3039
13381	0.004	0.0948812664908	19	417
14047	0.004	0.0948812664908	19	732
14058	0.004	0.0948812664908	19	1293
14139	0.004	0.0948812664908	19	3837
14211	0.004	0.0948812664908	19	978
14227	0.004	0.0948812664908	19	2649
14846	0.004	0.0948812664908	19	2256
14898	0.004	0.0948812664908	18	1833
15203	0.004	0.0948812664908	19	3903
15828	0.004	0.0948812664908	19	1068
16141	0.004	0.0948812664908	17	1437
16762	0.004	0.0948812664908	18	3570
16926	0.004	0.0948812664908	16	999
17225	0.004	0.0948812664908	18	1728
18711	0.004	0.0948812664908	14	417
18955	0.004	0.0948812664908	16	1179
19006	0.004	0.0948812664908	14	348
19229	0.004	0.0948812664908	13	456
19419	0.004	0.0948812664908	13	384
19512	0.004	0.0948812664908	13	876
10516	0.005	0.110442260442	14	2943
10766	0.005	0.110442260442	16	1509
10772	0.005	0.110442260442	12	4767
11075	0.005	0.110442260442	16	1137
11176	0.005	0.110442260442	17	5082
11971	0.005	0.110442260442	18	3006
12258	0.005	0.110442260442	17	1932
13227	0.005	0.110442260442	18	1395
13271	0.005	0.110442260442	19	7209
13592	0.005	0.110442260442	17	894
13829	0.005	0.110442260442	19	3498
13890	0.005	0.110442260442	19	2061
13984	0.005	0.110442260442	19	4152
14709	0.005	0.110442260442	19	6867
15365	0.005	0.110442260442	19	1887
15823	0.005	0.110442260442	19	4365
15920	0.005	0.110442260442	19	2994
16494	0.005	0.110442260442	19	2991
16521	0.005	0.110442260442	19	972
16542	0.005	0.110442260442	19	690
16631	0.005	0.110442260442	19	513
17279	0.005	0.110442260442	15	1068
17780	0.005	0.110442260442	18	1212
18162	0.005	0.110442260442	17	597
18164	0.005	0.110442260442	18	1263
18544	0.005	0.110442260442	17	450
18612	0.005	0.110442260442	17	1512
19261	0.005	0.110442260442	15	585
10217	0.006	0.122036199095	13	2601
10469	0.006	0.122036199095	18	9900
10911	0.006	0.122036199095	12	3675
11107	0.006	0.122036199095	16	1011
11163	0.006	0.122036199095	17	579
11257	0.006	0.122036199095	18	1878
11385	0.006	0.122036199095	19	1689
12153	0.006	0.122036199095	17	960
12164	0.006	0.122036199095	18	2523
12187	0.006	0.122036199095	17	1473
12402	0.006	0.122036199095	18	564
12769	0.006	0.122036199095	19	5754
12846	0.006	0.122036199095	19	1821
13467	0.006	0.122036199095	19	4959
13692	0.006	0.122036199095	18	1080
14157	0.006	0.122036199095	17	480
14784	0.006	0.122036199095	19	1521
15121	0.006	0.122036199095	19	942
15126	0.006	0.122036199095	19	3012
15433	0.006	0.122036199095	19	4128
15623	0.006	0.122036199095	19	2592
16065	0.006	0.122036199095	19	2934
16217	0.006	0.122036199095	19	2493
16331	0.006	0.122036199095	19	3396
16943	0.006	0.122036199095	18	1092
17308	0.006	0.122036199095	18	1998
17598	0.006	0.122036199095	18	954
17794	0.006	0.122036199095	18	576
18683	0.006	0.122036199095	16	987
18692	0.006	0.122036199095	17	396
19105	0.006	0.122036199095	12	381
19147	0.006	0.122036199095	15	354
19467	0.006	0.122036199095	14	561
19700	0.006	0.122036199095	10	429
20048	0.006	0.122036199095	10	1329
10686	0.007	0.132484210526	13	951
10747	0.007	0.132484210526	17	1752
10839	0.007	0.132484210526	17	681
11184	0.007	0.132484210526	17	1872
11723	0.007	0.132484210526	18	1497
11981	0.007	0.132484210526	18	1914
12040	0.007	0.132484210526	18	1299
12183	0.007	0.132484210526	18	2202
12267	0.007	0.132484210526	18	1959
12466	0.007	0.132484210526	19	933
12516	0.007	0.132484210526	19	639
12949	0.007	0.132484210526	18	1518
12961	0.007	0.132484210526	19	1866
13142	0.007	0.132484210526	19	903
13283	0.007	0.132484210526	19	1467
14667	0.007	0.132484210526	19	3654
14851	0.007	0.132484210526	19	3504
15771	0.007	0.132484210526	19	1884
15893	0.007	0.132484210526	19	2118
15954	0.007	0.132484210526	19	525
16694	0.007	0.132484210526	19	7215
16838	0.007	0.132484210526	19	2481
16899	0.007	0.132484210526	19	1605
17113	0.007	0.132484210526	16	1161
17229	0.007	0.132484210526	17	675
18007	0.007	0.132484210526	18	1695
18246	0.007	0.132484210526	16	711
18274	0.007	0.132484210526	17	711
18631	0.007	0.132484210526	16	5409
18655	0.007	0.132484210526	17	747
18848	0.007	0.132484210526	17	729
19116	0.007	0.132484210526	16	654
19618	0.007	0.132484210526	13	966
10416	0.008	0.139110251451	19	2907
11317	0.008	0.139110251451	8	984
11745	0.008	0.139110251451	17	1758
12162	0.008	0.139110251451	17	1188
12415	0.008	0.139110251451	18	324
12587	0.008	0.139110251451	19	1578
12595	0.008	0.139110251451	19	738
12951	0.008	0.139110251451	19	1638
12957	0.008	0.139110251451	19	1671
12973	0.008	0.139110251451	19	1836
13372	0.008	0.139110251451	19	1506
13586	0.008	0.139110251451	19	1614
14169	0.008	0.139110251451	19	468
14268	0.008	0.139110251451	19	3726
14271	0.008	0.139110251451	19	2328
14428	0.008	0.139110251451	19	924
14508	0.008	0.139110251451	19	921
14525	0.008	0.139110251451	18	2808
14742	0.008	0.139110251451	19	3534
14852	0.008	0.139110251451	19	474
15115	0.008	0.139110251451	19	3624
15245	0.008	0.139110251451	19	2520
15329	0.008	0.139110251451	19	4263
15452	0.008	0.139110251451	19	1290
15544	0.008	0.139110251451	19	2799
15560	0.008	0.139110251451	19	1212
15581	0.008	0.139110251451	19	642
16712	0.008	0.139110251451	19	4758
17115	0.008	0.139110251451	16	576
17461	0.008	0.139110251451	15	507
17504	0.008	0.139110251451	18	546
17527	0.008	0.139110251451	18	618
17685	0.008	0.139110251451	18	2271
17715	0.008	0.139110251451	18	1560
17912	0.008	0.139110251451	18	993
18034	0.008	0.139110251451	18	1710
18037	0.008	0.139110251451	16	966
18228	0.008	0.139110251451	18	690
18257	0.008	0.139110251451	18	1065
18405	0.008	0.139110251451	17	381
19036	0.008	0.139110251451	16	1359
19189	0.008	0.139110251451	15	1287
10400	0.009	0.148458715596	17	1329
10440	0.009	0.148458715596	14	3714
10607	0.009	0.148458715596	17	3534
10732	0.009	0.148458715596	9	1626
11450	0.009	0.148458715596	18	1788
11531	0.009	0.148458715596	18	717
12096	0.009	0.148458715596	19	540
12833	0.009	0.148458715596	19	3132
13194	0.009	0.148458715596	18	2622
13866	0.009	0.148458715596	19	3207
14079	0.009	0.148458715596	19	2388
14338	0.009	0.148458715596	19	3702
14412	0.009	0.148458715596	19	1722
15259	0.009	0.148458715596	19	693
15361	0.009	0.148458715596	19	4641
15679	0.009	0.148458715596	19	861
15878	0.009	0.148458715596	19	1848
15974	0.009	0.148458715596	18	1821
16424	0.009	0.148458715596	17	5598
16650	0.009	0.148458715596	19	594
17016	0.009	0.148458715596	16	1467
17236	0.009	0.148458715596	17	4857
17463	0.009	0.148458715596	16	570
17676	0.009	0.148458715596	16	357
17813	0.009	0.148458715596	17	336
18181	0.009	0.148458715596	18	1260
18222	0.009	0.148458715596	13	318
18236	0.009	0.148458715596	17	3423
10977	0.01	0.157167832168	18	2436
11834	0.01	0.157167832168	17	3354
12339	0.01	0.157167832168	18	2382
12947	0.01	0.157167832168	17	468
13127	0.01	0.157167832168	19	1731
13137	0.01	0.157167832168	19	1353
13175	0.01	0.157167832168	19	2577
13293	0.01	0.157167832168	19	1509
13446	0.01	0.157167832168	19	1161
13625	0.01	0.157167832168	18	1299
13823	0.01	0.157167832168	19	873
14358	0.01	0.157167832168	17	6378
14745	0.01	0.157167832168	19	2505
14801	0.01	0.157167832168	19	843
15330	0.01	0.157167832168	19	876
16851	0.01	0.157167832168	19	4029
16904	0.01	0.157167832168	19	2649
17106	0.01	0.157167832168	17	357
17281	0.01	0.157167832168	18	918
17501	0.01	0.157167832168	18	495
17542	0.01	0.157167832168	18	1731
17546	0.01	0.157167832168	18	1083
17605	0.01	0.157167832168	16	525
18460	0.01	0.157167832168	17	2322
18677	0.01	0.157167832168	17	459
18960	0.01	0.157167832168	12	585
19263	0.01	0.157167832168	14	402
10460	0.011	0.165091819699	9	1353
10554	0.011	0.165091819699	15	801
11288	0.011	0.165091819699	16	1020
11311	0.011	0.165091819699	19	9162
11787	0.011	0.165091819699	19	1317
11860	0.011	0.165091819699	18	1893
11941	0.011	0.165091819699	19	2856
12606	0.011	0.165091819699	19	2283
12745	0.011	0.165091819699	19	2586
13582	0.011	0.165091819699	19	1758
13697	0.011	0.165091819699	17	1518
14201	0.011	0.165091819699	19	2553
14535	0.011	0.165091819699	19	870
14601	0.011	0.165091819699	19	1770
15390	0.011	0.165091819699	19	1386
16134	0.011	0.165091819699	19	2742
16191	0.011	0.165091819699	19	471
16636	0.011	0.165091819699	19	2052
17445	0.011	0.165091819699	17	1146
17795	0.011	0.165091819699	18	1569
17829	0.011	0.165091819699	18	1116
18622	0.011	0.165091819699	16	1761
18770	0.011	0.165091819699	17	1881
18835	0.011	0.165091819699	17	1749
19184	0.011	0.165091819699	16	765
19238	0.011	0.165091819699	15	1263
19578	0.011	0.165091819699	12	699
10371	0.012	0.172608	18	3477
10729	0.012	0.172608	17	3348
11645	0.012	0.172608	17	2148
11704	0.012	0.172608	18	2358
12173	0.012	0.172608	19	10950
12224	0.012	0.172608	18	3738
12273	0.012	0.172608	18	2856
12652	0.012	0.172608	19	357
13057	0.012	0.172608	19	1215
13253	0.012	0.172608	19	4221
13775	0.012	0.172608	19	1131
13806	0.012	0.172608	17	3162
14287	0.012	0.172608	19	3597
14826	0.012	0.172608	19	1488
15613	0.012	0.172608	19	2154
15643	0.012	0.172608	19	8127
16297	0.012	0.172608	19	1851
16537	0.012	0.172608	19	3030
16803	0.012	0.172608	19	1347
16813	0.012	0.172608	19	477
17319	0.012	0.172608	18	837
18254	0.012	0.172608	17	375
18436	0.012	0.172608	16	1014
18506	0.012	0.172608	16	354
18508	0.012	0.172608	16	1800
19695	0.012	0.172608	11	2109
10677	0.013	0.179248466258	15	2076
11060	0.013	0.179248466258	12	936
11310	0.013	0.179248466258	19	4413
11939	0.013	0.179248466258	18	1101
12316	0.013	0.179248466258	17	771
12605	0.013	0.179248466258	19	2694
13110	0.013	0.179248466258	19	8661
13153	0.013	0.179248466258	19	7374
13588	0.013	0.179248466258	19	1728
13661	0.013	0.179248466258	13	660
14002	0.013	0.179248466258	19	858
14391	0.013	0.179248466258	19	804
14905	0.013	0.179248466258	19	1194
14971	0.013	0.179248466258	18	1098
15220	0.013	0.179248466258	17	978
15424	0.013	0.179248466258	19	1338
15794	0.013	0.179248466258	19	1014
15802	0.013	0.179248466258	14	504
16180	0.013	0.179248466258	19	4974
16546	0.013	0.179248466258	18	2469
16770	0.013	0.179248466258	18	2652
16982	0.013	0.179248466258	18	3012
17043	0.013	0.179248466258	18	1026
17594	0.013	0.179248466258	16	5166
17661	0.013	0.179248466258	11	1188
18802	0.013	0.179248466258	17	1875
19257	0.013	0.179248466258	15	654
10537	0.014	0.183469387755	16	1968
10704	0.014	0.183469387755	15	6153
11046	0.014	0.183469387755	17	837
11552	0.014	0.183469387755	18	4746
11905	0.014	0.183469387755	19	2913
12032	0.014	0.183469387755	10	1899
12556	0.014	0.183469387755	19	2757
12626	0.014	0.183469387755	19	2088
12650	0.014	0.183469387755	19	1518
12700	0.014	0.183469387755	19	1176
12885	0.014	0.183469387755	19	420
12911	0.014	0.183469387755	19	810
13363	0.014	0.183469387755	19	936
13465	0.014	0.183469387755	19	1029
14379	0.014	0.183469387755	18	1704
14395	0.014	0.183469387755	18	1575
14433	0.014	0.183469387755	19	9621
14507	0.014	0.183469387755	19	1497
14600	0.014	0.183469387755	12	5259
15113	0.014	0.183469387755	19	471
15158	0.014	0.183469387755	19	1053
15379	0.014	0.183469387755	14	474
15574	0.014	0.183469387755	19	4854
15901	0.014	0.183469387755	19	1335
16205	0.014	0.183469387755	19	582
16692	0.014	0.183469387755	18	1467
16738	0.014	0.183469387755	17	1032
16757	0.014	0.183469387755	19	1143
16776	0.014	0.183469387755	19	1122
16791	0.014	0.183469387755	19	1308
17107	0.014	0.183469387755	18	681
18226	0.014	0.183469387755	18	1527
18518	0.014	0.183469387755	17	1389
19689	0.014	0.183469387755	11	543
10591	0.015	0.189929577465	17	2121
10825	0.015	0.189929577465	18	1689
11685	0.015	0.189929577465	16	1824
11730	0.015	0.189929577465	19	2919
11943	0.015	0.189929577465	17	7335
13627	0.015	0.189929577465	19	1005
13991	0.015	0.189929577465	19	2304
15036	0.015	0.189929577465	19	396
15588	0.015	0.189929577465	19	621
15798	0.015	0.189929577465	19	498
15922	0.015	0.189929577465	19	531
16013	0.015	0.189929577465	19	4272
16206	0.015	0.189929577465	19	1266
16319	0.015	0.189929577465	19	1356
16558	0.015	0.189929577465	19	1161
16609	0.015	0.189929577465	19	813
16861	0.015	0.189929577465	18	579
17072	0.015	0.189929577465	17	762
17103	0.015	0.189929577465	15	447
17736	0.015	0.189929577465	18	879
17793	0.015	0.189929577465	18	1236
17919	0.015	0.189929577465	18	564
18663	0.015	0.189929577465	17	633
18895	0.015	0.189929577465	15	510
10595	0.016	0.195434782609	11	2058
