OG_15993	NOL11
OG_12139	JADE3
OG_12428	SYFA
OG_12429	AQR
OG_14868	PSB6
OG_14869	ARHGAP32|autism_4
OG_14864	ZC3HD
OG_14865	PUS7
OG_14866	PHS2
OG_14867	PSD13
OG_14861	ARL5B
OG_15656	IMB1
OG_11768	DNJC8
OG_11760	OVCA2
OG_11762	SNUT2
OG_11764	IQCA1
OG_11765	HDDC2
OG_19152	PSMG3
OG_19150	RABL6
OG_19157	POC1B
OG_19156	PTCD1
OG_18790	XPR1
OG_18798	COX16
OG_18799	KEAP1
OG_14680	RPKL1|neuro
OG_14681	MED29
OG_14682	UBS3B
OG_14683	NKD1
OG_14684	SMC2
OG_14685	ETFB|autism_3
OG_14686	TSTD1
OG_14687	AMOT
OG_14688	CCNB3
OG_14689	XPO4
OG_17883	LRP6
OG_17882	LYRM7
OG_17881	PP4C
OG_17880	MBOA5
OG_17887	USH1G
OG_17884	VPP1
OG_17889	NEPR1
OG_14550	CSK21
OG_17089	PACE1
OG_17088	SARDH
OG_17083	RBBP4
OG_17082	RM46
OG_17081	FAXC|neuro
OG_17087	F210B
OG_17086	CSK2B
OG_17085	ATOH8
OG_17084	NDNL2|autism_4
OG_16422	SDS3
OG_16423	GRIP2
OG_16421	XRN1
OG_16426	DNJB6
OG_16425	RANB3
OG_16428	CYTSA
OG_16429	LRC34
OG_14552	CDK5
OG_17331	VATH
OG_17332	RL14
OG_17334	RPA2
OG_17337	RL8
OG_17336	PELP1
OG_17339	DNJC4
OG_17338	TEFM
OG_16686	PARN
OG_16684	ASH2L
OG_16683	BOLA1
OG_16680	LRP2|autism_4
OG_16681	BIG2
OG_16688	TFP11
OG_12309	NIP7
OG_12307	SC24B
OG_12306	TT39C
OG_12305	UGPA
OG_12302	PLAP
OG_12301	OXSR1
OG_12300	FUT10
OG_17113	ENKD1
OG_10968	NDST2
OG_10964	KDM6A|autism_2
OG_10966	WRP73
OG_10960	SO4A1
OG_15302	CBPQ
OG_15652	DAZP1
OG_15653	MPND
OG_15306	RRN3
OG_15655	NR4A2
OG_15304	LMA2L
OG_15308	RAP2C
OG_15309	MTND
OG_19348	TPX2
OG_13438	C56D1
OG_13439	INSC
OG_13437	GNPI2
OG_13434	THIO
OG_13435	SYMC
OG_13432	RTEL1
OG_13433	SHQ1
OG_13430	RPA1
OG_13431	TRUA
OG_19304	BL1S6
OG_19309	NUP62
OG_11241	NT5D1
OG_17605	ARPC4
OG_17604	KIFC1
OG_17607	HM13
OG_17606	MFN2
OG_17601	AR2BP
OG_11240	TDG
OG_17600	PREB
OG_17975	KDM7A
OG_17602	SHCBP
OG_11250	PARP1
OG_11251	SCRT1|neuro
OG_11247	RL31
OG_14556	DNLI3
OG_11701	CC151
OG_11254	CCD40
OG_14305	ARPC3
OG_14304	FER|autism_0
OG_14301	FA2H|neuro
OG_14300	PAF1
OG_14303	VPS16
OG_14302	DST|autism_4
OG_11159	CC170
OG_11158	CMKMT
OG_14309	STX16
OG_14308	ATP9B
OG_10684	SHOX|autism_3
OG_10683	BAIP3|neuro
OG_18301	CAF17
OG_18300	DRAM2
OG_18303	BLVRB
OG_18302	CY561
OG_10689	TCTE1
OG_17658	S39A2
OG_15874	NBN
OG_15875	CBPB1
OG_15870	KIF23
OG_15872	PIGG
OG_15873	MED16
OG_15878	SPAT2
OG_15879	APT
OG_11489	VA0E2
OG_15694	TPPC9
OG_11481	SLU7
OG_11480	CRBN
OG_11482	SAXO2
OG_11484	CFA61
OG_11487	UNC80|autism_4|neuro
OG_11486	HOME2
OG_11376	RS4X
OG_11374	RYK
OG_11373	TPPC8
OG_11372	NTAN1
OG_11371	E2AK4
OG_11378	1433Z
OG_18169	APTX
OG_15692	ABHD2
OG_18165	TTC4
OG_18164	SOCS6
OG_18167	TF2B
OG_15693	SMC5
OG_18161	NDUBB
OG_18160	RN216
OG_19479	TYB4
OG_18523	VPS28
OG_17054	SELM
OG_17436	ALKB1
OG_16749	MAT1
OG_16748	PP6R2
OG_16218	RAB5C
OG_16215	TBPL1
OG_16214	ANM9
OG_16217	CIP2A
OG_16210	TNG6
OG_16213	DHB4
OG_16212	PP2AA
OG_11322	DPOE3
OG_19473	MSH4
OG_19953	GEMI8
OG_19952	POP7
OG_17056	KSR1
OG_17057	DRS7B
OG_17050	RN185
OG_17051	AIMP2
OG_14832	HOXA1|autism_S
OG_18529	IF1AX
OG_14837	HXB2
OG_11973	MDHC
OG_11972	SMAD1
OG_11977	CIB1
OG_11979	KCTD5
OG_11978	ATAD5
OG_11662	SRRM2
OG_18528	RPB2
OG_17390	LSMD1
OG_12118	CNOT4
OG_12119	MED28
OG_12449	INP5E
OG_12445	ANM8|neuro
OG_12111	PP1R8
OG_12443	APMAP
OG_14842	UBL7|autism_6
OG_14843	S12A2
OG_14840	RPGR
OG_14841	NCKAP5|autism_4
OG_14846	GNPTA
OG_14847	PTPRR|neuro
OG_14849	DDAH1
OG_13334	PDXK
OG_18168	NIF3L
OG_13337	INSM2|neuro
OG_13336	RPC2
OG_13331	NUD18
OG_13330	NHEJ1
OG_18545	FARP1
OG_13333	CDKL1
OG_19795	TCEA1
OG_19793	TAF12
OG_15469	PGM2
OG_15468	CETN2
OG_15463	SIX4
OG_15462	EN2|autism_4
OG_15467	NAA35
OG_15466	PLD3
OG_15465	STA10
OG_15464	EXOS8
OG_14510	KLF10
OG_14511	S7A6O
OG_14512	PTSS1
OG_14514	ARF6
OG_14515	M3K4
OG_14517	T22D3
OG_11747	LARP6|neuro
OG_11744	UBE2O
OG_11741	CEP290|autism_0
OG_19171	CQ10B
OG_19170	MET2B
OG_19173	DHDH
OG_19172	NSE2
OG_19174	KPRB
OG_19178	EDC4
OG_18486	RAD9A
OG_18449	FACE1
OG_18421	S35A2
OG_18422	RSLAB
OG_16916	GP107
OG_16914	RU17
OG_16913	IRX6
OG_20394	TMED7
OG_19206	ATF6A
OG_16918	OGT|autism_0
OG_17357	ADCY2|neuro
OG_17355	ANFY1
OG_17359	RL17
OG_18426	MEX3B
OG_12327	PTN4
OG_12323	ARLY
OG_12329	FRK|autism_4
OG_16009	SYIM
OG_16000	DEAF1|autism_2
OG_16001	STOM
OG_16002	DHE3
OG_16003	MARH6
OG_16004	GBF1
OG_16007	OTUD5
OG_13630	UPP1
OG_13631	UFL1
OG_13632	TAF13
OG_13633	INPP1|autism_4
OG_13634	T170A
OG_13635	CI114
OG_13188	GCP4
OG_13189	CS054
OG_13186	SYLC
OG_13185	TRIPB
OG_13182	INT11
OG_13183	OSTF1
OG_13181	EI24
OG_12580	RT27
OG_12583	MAEA
OG_12582	ZRAN1
OG_12587	AAAS
OG_12586	GLIS3
OG_12589	UNC50
OG_12588	NOP14
OG_12859	SMG6|autism_0
OG_12858	GGNB2
OG_12682	MOC2B
OG_10981	KI18A
OG_10985	ACSF2
OG_12683	TTLL5
OG_10989	PXDC2
OG_10988	GNAS2
OG_12936	FAAH2
OG_15677	AP3S1
OG_12937	FZD7
OG_15672	PEX5
OG_15673	ACAP2
OG_15670	GATD1
OG_15671	B3GT1|neuro
OG_12686	WIF1
OG_15678	HPS3
OG_12687	NRF1
OG_13986	TRXR2
OG_13984	PHF20
OG_13982	GSH1
OG_12684	CACNA2D3|autism_2|neuro
OG_13980	GPN3
OG_13981	SLC9A6|autism_S|neuro
OG_12685	NRCAM|autism_4|neuro
OG_13458	CLCA
OG_13988	HEAT6
OG_13989	UBXN6
OG_15588	VATO
OG_15589	PRS10
OG_15584	XPO1|autism_4
OG_15585	NU188
OG_15587	DNM1L|autism_5
OG_15580	SMOC1|neuro
OG_15582	INTU
OG_15583	GANP
OG_18689	RBM4
OG_18911	EIF3H
OG_11179	DBX1
OG_11178	TEX14
OG_11173	AMPN
OG_14987	NFX1
OG_14986	CSTF1
OG_14985	P5CR1
OG_14984	MKNK2
OG_14983	SKP2
OG_14981	SC5AC
OG_19364	UBIA1
OG_18912	PMVK
OG_14989	OSGP2
OG_15859	RN207
OG_18369	KTN1
OG_15852	FAN1|autism_0
OG_15853	EPC1
OG_15850	KTI12
OG_15851	MAP12
OG_15856	HM20A
OG_15857	ACL6A
OG_15854	TSN|autism_5
OG_15855	ANR28
OG_18913	DIC
OG_11359	MDR1
OG_11358	ABHDB
OG_14189	LRC59
OG_14188	ARP3
OG_14187	PEO1
OG_11354	TGFR1
OG_14185	CIR1
OG_14184	K0100
OG_14183	COX10
OG_14181	DCA11
OG_14129	ABTB2
OG_18182	CCD96
OG_18180	RT06
OG_18187	UBE2W
OG_18185	TLX3
OG_18184	RM12
OG_18189	CDT1
OG_11333	SYIC
OG_19580	MPIP3
OG_11441	ARID1B|autism_1
OG_19582	QCR9
OG_19584	LTMD1
OG_17638	PIGU
OG_17634	LMNA
OG_17635	TM59L|neuro
OG_17636	MOV10
OG_11442	SPO11
OG_17630	IF4H
OG_17632	DYLT1
OG_17633	MAP11
OG_16589	SERA
OG_16588	GID8
OG_16585	OST48
OG_16584	VP13D
OG_16580	NUP53
OG_16583	SKT
OG_14729	TAF6|autism_3
OG_14720	AKT3
OG_14727	SPN90
OG_14726	ERF3B
OG_14725	RRP44
OG_14724	NFRKB
OG_17478	MOS
OG_17479	RT11
OG_17183	STRAP
OG_17181	FKBP8
OG_17187	RT14
OG_17185	IDI1
OG_10407	MRGBP
OG_10405	APEX1
OG_16760	PFD4
OG_16763	MEP50
OG_17475	SKAP2
OG_16765	ANM5
OG_16764	ATAT
OG_16767	LYAR
OG_16766	MTCH2
OG_16769	MPPD1|neuro
OG_16768	UBE2K
OG_17473	KLF5
OG_19978	MIY4B
OG_17470	PRUN1
OG_17471	GT252|neuro
OG_19228	CNOT7
OG_18703	EIF1A
OG_18702	ALG5
OG_19008	RM22
OG_16876	SL9A8
OG_19550	PT117
OG_11917	AHI1|autism_S
OG_11915	GUC2F
OG_11914	MLEC
OG_11913	KPBB
OG_11912	BCL7B
OG_11910	CV039
OG_11919	ACOX3
OG_11918	CHIT1
OG_17565	MKLN1
OG_13849	RIOK1
OG_13843	ETHE1
OG_13841	LIPS
OG_13840	PPWD1
OG_13846	RUSD1
OG_13845	THIM
OG_13844	DPYD|autism_4
OG_20073	RL34
OG_12462	GLCTK
OG_12460	SUMO3
OG_12461	KANL1
OG_12466	SEC13
OG_12467	ATP1A3|autism_S|neuro
OG_12464	OXR1
OG_12468	HAT1
OG_12469	NEMF
OG_19773	GPKOW
OG_19777	SCO1
OG_19774	HUS1
OG_19779	AT5G2
OG_18624	DRC3
OG_15113	NHP2
OG_15112	MADD
OG_15442	PEX6
OG_15445	GPHRB
OG_15449	GANAB
OG_15448	GP180
OG_15119	SRSF1
OG_15118	RM21
OG_11724	ASCC3
OG_14537	GNMT
OG_14532	RUND1
OG_14533	SPS1
OG_14530	NRBP
OG_14531	LMBL3
OG_19269	PRS8
OG_11728	PPN
OG_11729	SMCA4
OG_14538	TLDC1
OG_14539	TMM18
OG_19115	MTL26
OG_19114	SNX16
OG_19113	EXOC4
OG_19112	FA45A
OG_19110	RFWD3
OG_19119	SNAPN
OG_19118	MGDP1
OG_18464	ATP5S
OG_18465	TMCO1
OG_17567	CANB1
OG_18466	C1D
OG_18467	RUXF
OG_18649	FAIM1
OG_18641	OMA1
OG_16978	CHM1B
OG_16979	IST1
OG_16974	RRF2M
OG_16975	TF3C3
OG_16970	HAOX1
OG_16971	GRTP1
OG_16972	GLTL6|neuro
OG_16973	RRP36
OG_17379	RT12
OG_17375	LENG1
OG_17374	DHRS4
OG_17376	FZD5
OG_17370	INO1
OG_17373	WRB
OG_16398	NU160
OG_16399	HMGX4
OG_16390	SP3
OG_16391	GPD2|autism_0
OG_16392	PLOD3
OG_16393	NEUL4
OG_16394	GIGYF1|autism_3
OG_16396	LRRF2
OG_16397	CABIN
OG_16028	RN121
OG_16029	PACN2
OG_16026	PLD1
OG_16024	SOSSC
OG_16025	UBP3
OG_16022	XPO6
OG_16023	METL5
OG_16020	ATF2
OG_13120	CK5P3
OG_13614	RAB35
OG_13615	FXL14
OG_13612	NOP58
OG_13613	BDP1
OG_13610	ERD22
OG_13611	ZCHC7
OG_13618	USP7|autism_2
OG_15618	ITA8
OG_15615	REV1
OG_15616	KTU
OG_15617	OLA1
OG_15612	ST17A
OG_15613	GUAA
OG_13478	PAR6B
OG_13122	RPN1
OG_13472	NID1
OG_13473	KI26A
OG_13471	CEBPA
OG_13476	TMM53
OG_13477	NIPS1
OG_13474	VPS35
OG_13475	MCM6
OG_19266	ATG10
OG_12879	RBGP1
OG_12878	LSM11
OG_12871	RAB9A
OG_12870	DHX36
OG_12873	OFUT1
OG_12872	APC15
OG_12875	COPT1
OG_12874	RNC
OG_12877	F102A
OG_12876	SPTN1
OG_18277	RPAB3
OG_18870	C1QBP
OG_11119	TOM70
OG_11118	TEX11
OG_11114	CHMP7
OG_11112	REEP1
OG_12709	ZN106
OG_12703	FOCAD
OG_12702	ZN609
OG_12701	PRP39
OG_12700	TIAR
OG_12707	CFA36
OG_12706	ADCK1
OG_12705	S35B2
OG_18341	NDK6
OG_18340	SUCLG2|autism_6
OG_18343	MINY3
OG_18342	PLPHP
OG_18439	MTG1
OG_19996	BBIP1
OG_15707	DHX16
OG_15099	NRBF2
OG_18750	FEM1B
OG_10640	PTBP2|autism_4
OG_17613	SNR40
OG_10642	AATF
OG_10645	CWC22
OG_17618	YETS4
OG_17619	CB069
OG_16563	ACY1|autism_0
OG_16562	KMT2E|autism_3
OG_16561	S61A2|neuro
OG_16560	PTH1R
OG_16567	SCOT1
OG_16566	GIPC1
OG_16564	FOXN1
OG_16569	DUS7
OG_14701	AK17A
OG_14703	WDR59
OG_14702	CYLD
OG_14705	MAF1
OG_14704	NUP93
OG_14706	NSUN5
OG_14708	ZCPW1
OG_18569	ZCHC9
OG_10464	VKGC
OG_10463	ENPP5
OG_10469	REV3L
OG_10398	SYTC
OG_16707	GPTC1
OG_16705	WASP
OG_16704	RSPRY
OG_16702	PGCB|neuro
OG_11134	GFI1B
OG_16709	ANO8|neuro
OG_16708	RPRD2
OG_14940	NADE
OG_11131	HDC|autism_5
OG_11133	RHG06
OG_11616	ZNF84
OG_15144	XPO7
OG_15146	ADA12
OG_17511	VMP1
OG_15411	MPPB
OG_17510	F151B
OG_15416	TBK1
OG_11617	RAI1|autism_S
OG_15141	HPSE
OG_13287	F149B
OG_13281	DPOE2
OG_13280	TT30B
OG_13282	C1TC
OG_17515	ZN830
OG_15143	NOC3L
OG_13289	PDE9A
OG_13288	TAD2A
OG_17514	CDC5L
OG_17518	BZW2
OG_11939	MA1A1
OG_11938	KRI1
OG_11935	PDE1C|autism_0
OG_11934	TFPT
OG_11931	PDCL3
OG_11933	XYLK
OG_18930	FABD
OG_11513	CACNB2|autism_3
OG_18931	PX11B
OG_13755	T2EA
OG_13861	ATPD
OG_13860	ASPP2
OG_13862	IVD
OG_13864	CRY1
OG_13867	FA13A
OG_13866	ODO1
OG_13869	PDCD2
OG_13868	TAM41
OG_13203	RNF17
OG_11510	SON
OG_18724	SKP1
OG_18275	ATPK
OG_19758	RBP1
OG_19755	FRG1
OG_19754	VACHT
OG_19284	SFR1
OG_19283	COMD2
OG_19282	RL19
OG_19710	SAMD8
OG_15139	ZFAN1
OG_15131	RBM7
OG_15132	ACOX1
OG_15135	FUT1
OG_15134	CF206
OG_15137	XPP1
OG_15136	UBTD2
OG_15427	CU059
OG_15426	ACBG2
OG_15424	KCMB2
OG_15423	PRCC
OG_15422	FGF17
OG_15421	LETM1
OG_15420	MOB3B
OG_15429	BRAP
OG_15428	STA13
OG_19134	CNIH1
OG_19136	PGRP1
OG_19130	F192A
OG_18276	USPL1
OG_19132	COX17
OG_18089	RNZ2
OG_18083	EMC4
OG_18080	ANKL1
OG_18086	OTUB1
OG_18087	FSCN1|neuro
OG_18084	MPH6
OG_11709	AVL9
OG_14558	LSM7
OG_14554	ZFYV1
OG_14555	PPIL4
OG_14557	RBM19
OG_14551	KTNB1
OG_14553	APBP2
OG_18668	VAMP2
OG_18665	ADSL|autism_S
OG_18660	ATG13
OG_16950	RBPS2
OG_16956	MD2BP
OG_16954	VSX2
OG_17393	PTER
OG_17392	SSNA1
OG_17391	TM223
OG_11459	STN1
OG_17397	RLA0
OG_17398	SPTC1
OG_11713	NDUS8
OG_11274	CSN1
OG_16044	COQ2
OG_16045	NAGA
OG_16046	NP1L1
OG_16047	ARID2
OG_16040	KCY
OG_16041	ODF3A
OG_13678	CLPB
OG_13675	HS105
OG_13676	NFYA
OG_13671	TDRD3
OG_13672	ATP8A1|autism_5
OG_13673	BTG2
OG_15632	CCNH
OG_15633	PARD3B|autism_3
OG_15636	HOIL1
OG_15637	PPT2
OG_15635	UBXN4
OG_15639	PLD3B
OG_13491	SHF
OG_13492	VWA8
OG_13493	YTHDC2|autism_0
OG_13494	ZMY10
OG_13495	YIPF6
OG_13496	WDR49
OG_13497	TMM62
OG_16353	THEM6
OG_17946	RBM28
OG_17947	WDR37
OG_17945	BCAT1
OG_12819	DOK7
OG_12818	SFT2C
OG_12817	TOPB1
OG_12816	CTU1
OG_12815	PTPR2|neuro
OG_12814	SC16A
OG_12813	EXOS2
OG_12812	BAT1
OG_12810	TOR1B
OG_15359	EIF3K
OG_15358	TFDP1
OG_15097	SFXN1
OG_11717	MAP1B|neuro
OG_14942	TIPRL
OG_14941	API5
OG_11716	ANAG
OG_14947	HGNAT
OG_14945	DOP1
OG_14944	ATP7A
OG_11711	PRP31
OG_14949	LARP7
OG_14948	KAT8
OG_11139	KY
OG_11138	NAF1
OG_11710	SNAA
OG_12721	TM216
OG_12720	KITM
OG_12722	F161A
OG_12725	CDK19
OG_12724	COG4
OG_12727	RHGBA
OG_12726	P4R3A
OG_12729	RPC6
OG_12728	BAZ1A
OG_11712	CDR2L
OG_15897	RPC5
OG_15894	RS9
OG_15895	LC7L3
OG_15893	EIF3B
OG_15890	S2538
OG_15891	VPS18
OG_15355	CAB39
OG_15354	ABL1
OG_11399	PUR2
OG_11398	SCAI
OG_11391	CRNL1
OG_11393	PHF3|autism_2
OG_11392	SC6A2
OG_11395	UNC5C
OG_17017	LARP4
OG_17018	R3GEF
OG_17019	HYEP
OG_12408	MTA1
OG_17944	NIT2
OG_10662	SMAD4
OG_18411	EKI1
OG_18414	GNS
OG_10669	DAAF1
OG_14765	NEB1
OG_14764	DAAF4
OG_14763	VEGFA
OG_14762	TPR
OG_14769	TNR6A
OG_14768	AT7L3
OG_10449	KAD7
OG_17498	CEP89
OG_17499	LYRM4
OG_10446	DHX9
OG_10447	RS12
OG_17917	IFT56
OG_19462	COX19
OG_19937	INAM2
