>Ceratitis_capitata_XP_004526603.1	italic('Ceratitis capitata')
>LMAL_09013-RA	italic('Lasioglossum malachurum')
>LCAL_09844-RA	italic('Lasioglossum calceatum')
>LALB_09388-RA	italic('Lasioglossum albipes')
>LOEN_07194-RA	italic('Lasioglossum oenotherae')
>LPAU_06161-RA	italic('Lasioglossum pauxillum')
>Eufriesea_mexicana_XP_017760300.1	italic('Eufriesea mexicana')
>Ceratina_calcarata_XP_017879492.1	italic('Ceratina calcarata')
>Nomia_melanderi_XP_031841889.1	italic('Nomia melanderi')
>Habropoda_laboriosa_XP_017790563.1	italic('Habropoda laboriosa')
>Dufourea_novaeangliae_XP_015429625.1	italic('Dufourea novaeangliae')
>Megachile_rotundata_XP_012148156.1	italic('Megachile rotundata')
>Osmia_bicornis_bicornis_XP_029053147.1	italic('Osmia bicornis')
>Bombus_terrestris_XP_003397320.1	italic('Bombus terrestris')
>Apis_florea_XP_003691494.2	italic('Apis florea')
>Apis_dorsata_XP_031366148.1	italic('Apis dorsata')
>Apis_mellifera_XP_026298285.1	italic('Apis mellifera')
>Apis_cerana_XP_016908190.1	italic('Apis cerana')
>Locusta_migratoria_CAB51918.2	italic('Locusta migratoria')
>Blattella_germanica_PSN46736.1	italic('Blattella germanica')
>Zootermopsis_nevadensis_KDR17854.1	italic('Zootermopsis nevadensis')
>Contarinia_nasturtii_XP_031616857.1	italic('Contarinia nasturtii')
>Anopheles_gambiae_str._PEST_XP_321226.5	italic('Anopheles gambiae')
>Aedes_aegypti_EAT38121.1	italic('Aedes aegypti')
>Culex_quinquefasciatus_XP_001849310.1	italic('Culex quinquefasciatus')
>Ctenocephalides_felis_XP_026471915.1	italic('Ctenocephalides felis')
>Photinus_pyralis_XP_031331937.1	italic('Photinus pyralis')
>Nicrophorus_vespilloides_XP_017768375.1	italic('Nicrophorus vespilloides')
>Agrilus_planipennis_XP_018336343.1	italic('Agrilus planipennis')
>Aethina_tumida_XP_019874601.1	italic('Aethina tumida')
>Sitophilus_oryzae_XP_030762868.1	italic('Sitophilus oryzae')
>Dendroctonus_ponderosae_ENN81438.1	italic('Dendroctonus ponderosae')
>Asbolus_verrucosus_RZC36402.1	italic('Asbolus verrucosus')
>Diabrotica_virgifera_virgifera_XP_028142992.1	italic('Diabrotica virgifera')
>Leptinotarsa_decemlineata_XP_023030403.1	italic('Leptinotarsa decemlineata')
>Anoplophora_glabripennis_XP_018565669.1	italic('Anoplophora glabripennis')
