motif	soc_sig	sol_sig	num_tests	previous	soc_perms	sol_perms	soc-sol
jim_F1_9_SOLEXA_2.5	1	2	587	soc	972	817	-1
Hr51_SOLEXA	0	1	587	NA	1000	939	-1
HLH4C_SOLEXA_5	0	1	587	NA	1000	889	-1
Her_SOLEXA_5	1	2	587	sol	881	678	-1
her_SOLEXA_10	0	1	587	soc	1000	890	-1
hb_SOLEXA_5	2	3	586	soc	838	521	-1
GATAd_SOLEXA	1	2	582	NA	799	500	-1
eg_SOLEXA	2	3	587	NA	698	500	-1
dsx_SELEX	1	2	587	soc	956	822	-1
Dip3_SOLEXA	1	2	587	soc	948	760	-1
Dfd_SOLEXA	2	3	587	soc	700	551	-1
Crc_CG6272_SOLEXA	1	2	584	soc	886	587	-1
ci_SOLEXA_5	2	3	583	sol	747	402	-1
CG7928_SOLEXA_5	0	1	586	sol	1000	930	-1
CG15601_SOLEXA	0	1	580	soc	1000	814	-1
CG12605_SOLEXA_5	0	1	587	NA	1000	907	-1
br_PC_SOLEXA_10	1	2	585	soc	870	605	-1
br_PA_SOLEXA_5	3	4	587	soc	649	417	-1
BH1_SOLEXA	1	2	587	soc	871	597	-1
Bap_SOLEXA	3	4	587	soc	425	207	-1
ab_SOLEXA_5	1	2	587	NA	873	677	-1
vri_SOLEXA	0	2	585	soc	1000	553	-2
usp_SOLEXA	0	2	587	NA	1000	732	-2
sug_SOLEXA_5	1	3	586	NA	928	368	-2
sob_F3_5_SOLEXA_5	1	3	587	soc	918	365	-2
slbo_SOLEXA	0	2	587	NA	1000	681	-2
sage_da_SOLEXA_5	1	3	587	NA	912	414	-2
pho_SOLEXA_5	1	3	586	sol	896	349	-2
pfk_SOLEXA	3	5	587	NA	698	285	-2
Kr_SOLEXA_2.5	1	3	587	NA	969	576	-2
Hsf_compiled	3	5	586	soc	518	104	-2
Hr46_SOLEXA	2	4	587	sol	714	254	-2
Hey_SOLEXA_5	2	4	584	NA	595	81	-2
gt_SOLEXA	1	3	567	soc	788	212	-2
gce_SOLEXA_5	1	3	587	NA	952	576	-2
Fer2_da_SOLEXA_5	1	3	587	NA	878	456	-2
Fer1_SOLEXA_5	0	2	586	NA	1000	600	-2
Fer1_da_SOLEXA_5	1	3	587	NA	920	483	-2
Ets21C_SOLEXA	2	4	587	soc	710	256	-2
cwo_SOLEXA_5	0	2	577	soc	1000	459	-2
CG8319_SOLEXA_2.5	1	3	582	NA	871	306	-2
CG4360_F1_3_SOLEXA_2.5	1	3	564	soc	811	290	-2
CG3838_SOLEXA	3	5	587	soc	553	198	-2
CG31782_SOLEXA_5	2	4	587	NA	892	479	-2
CG1621_SOLEXA	0	2	587	NA	1000	818	-2
CG14962_SOLEXA_5	2	4	587	NA	728	269	-2
AbdB_SOLEXA	0	2	587	soc	1000	638	-2
Trl_FlyReg	3	6	587	NA	648	95	-3
tj_SOLEXA	1	4	587	NA	958	445	-3
Tin_SOLEXA	1	4	587	NA	924	315	-3
Poxm_SOLEXA	2	5	587	sol	887	372	-3
peb_F5_7_SOLEXA_2.5	2	5	587	soc	827	172	-3
mef2_compiled	0	3	583	soc	1000	474	-3
Med_FlyReg	1	4	587	sol	966	528	-3
Lbe_SOLEXA	1	4	587	soc	914	206	-3
Hr83_SOLEXA	2	5	587	soc	670	87	-3
ey_SOLEXA	1	4	587	NA	955	326	-3
esg_F3_5_SOLEXA	2	5	582	soc	709	68	-3
dl_NBT	2	5	587	sol	678	92	-3
CG15696_SOLEXA	1	4	587	soc	848	153	-3
bab1_SOLEXA	1	4	584	NA	898	153	-3
Antp_SOLEXA	0	3	587	soc	1000	341	-3
ac_da_SOLEXA_5	0	3	585	NA	1000	331	-3
toy_SOLEXA	2	6	587	sol	858	133	-4
Sox14_SOLEXA	0	4	583	soc	1000	209	-4
salr_F3_5_SOLEXA_2.5	0	4	587	NA	1000	393	-4
Ind_Cell	1	5	587	soc	900	82	-4
Gsc_SOLEXA	0	4	587	NA	1000	159	-4
CG8765_SOLEXA	2	6	587	NA	790	84	-4
CG12029_SOLEXA_5	1	5	584	NA	918	74	-4
CG11723_SOLEXA	3	7	587	NA	684	39	-4
brk_FlyReg	1	5	587	sol	960	249	-4
Adf1_SOLEXA	1	5	587	sol	932	142	-4
Hr39_SOLEXA	0	5	586	NA	1000	87	-5
CG4404_SOLEXA	1	6	584	NA	882	32	-5
Awh_SOLEXA	0	5	587	soc	1000	67	-5
