motif	soc_sig	sol_sig	num_tests	previous	soc_perms	sol_perms	soc-sol
Xrp1_CG6272_SOLEXA	0	0	90	soc	1000	1000	0
vri_SOLEXA	0	0	94	soc	1000	1000	0
usp_SOLEXA	0	0	101	NA	1000	1000	0
Usf_SOLEXA_5	0	0	92	NA	1000	1000	0
ttk_PF_SOLEXA_5	0	0	112	soc	1000	1000	0
tj_SOLEXA	1	1	111	NA	479	479	0
Tin_SOLEXA	1	1	84	NA	392	297	0
tgo_ss_SOLEXA_5	1	1	139	NA	440	475	0
tap_da_SOLEXA_5	0	0	143	sol	1000	1000	0
tai_SOLEXA_5	0	0	141	NA	1000	1000	0
tai_Met_SOLEXA_5	0	0	143	soc	1000	1000	0
Sox15_SOLEXA	0	0	94	soc	1000	1000	0
Sox14_SOLEXA	0	0	107	soc	1000	1000	0
sob_F3_5_SOLEXA_5	0	0	122	soc	1000	1000	0
slbo_SOLEXA	0	0	96	NA	1000	1000	0
shn_F1_2_SOLEXA_2.5	0	0	116	NA	1000	1000	0
sens_SOLEXA_5	0	0	120	NA	1000	1000	0
sage_da_SOLEXA_5	1	1	130	NA	424	409	0
rib_SOLEXA	0	0	111	soc	1000	1000	0
retn_SOLEXA	0	0	74	soc	1000	1000	0
Poxm_SOLEXA	0	0	150	sol	1000	1000	0
peb_F5_7_SOLEXA_2.5	0	0	141	soc	1000	1000	0
pad_SOLEXA_5	0	0	124	NA	1000	1000	0
ovo_SOLEXA_5	0	0	130	soc	1000	1000	0
Optix_SOLEXA	1	1	107	soc	487	422	0
onecut_SOLEXA	0	0	79	soc	1000	1000	0
nau_SOLEXA_5	0	0	125	soc	1000	1000	0
Met_SOLEXA_5	0	0	131	NA	1000	1000	0
Mes2_SOLEXA	0	0	123	sol	1000	1000	0
Med_FlyReg	0	0	139	sol	1000	1000	0
Max_Mnt_SOLEXA_5	0	0	136	soc	1000	1000	0
lola_PQ_SOLEXA	0	0	121	soc	1000	1000	0
lola_PP_SOLEXA_2.5	0	0	92	soc	1000	1000	0
lola_PL_SOLEXA_2.5	0	0	146	NA	1000	1000	0
lola_PK_SOLEXA	1	1	115	NA	453	401	0
lola_PF_SOLEXA_2.5	0	0	142	NA	1000	1000	0
lola_PA_SOLEXA_5	0	0	109	NA	1000	1000	0
Lim3_SOLEXA	0	0	65	NA	1000	1000	0
Lbe_SOLEXA	0	0	68	soc	1000	1000	0
l_3_neo38_SOLEXA_2.5	0	0	140	NA	1000	1000	0
klu_SOLEXA_5	0	0	152	sol	1000	1000	0
ken_SOLEXA_5	1	1	123	soc	477	412	0
jigr1_SOLEXA	0	0	87	NA	1000	1000	0
Hr83_SOLEXA	1	1	117	soc	453	368	0
Hr78_SOLEXA	0	0	85	NA	1000	1000	0
Hr51_SOLEXA	0	0	114	NA	1000	1000	0
Hr39_SOLEXA	0	0	104	NA	1000	1000	0
Hmx_SOLEXA	0	0	77	NA	1000	1000	0
HLH54F_da_SOLEXA_5	1	1	129	NA	519	463	0
HLH4C_SOLEXA_5	0	0	122	NA	1000	1000	0
Hey_SOLEXA_5	0	0	120	NA	1000	1000	0
Her_SOLEXA_5	0	0	107	sol	1000	1000	0
gsb_n_SOLEXA	1	1	139	NA	554	446	0
gcm_SELEX	1	1	133	sol	480	466	0
gce_SOLEXA_5	0	0	130	NA	1000	1000	0
ftz_f1_SOLEXA_2	0	0	97	NA	1000	1000	0
fru_PI_SOLEXA_5	1	1	123	soc	486	477	0
foxo_SOLEXA	0	0	87	soc	1000	1000	0
Fer2_da_SOLEXA_5	1	1	114	NA	431	366	0
Fer1_SOLEXA_5	0	0	117	NA	1000	1000	0
ey_SOLEXA	0	0	152	NA	1000	1000	0
Exd_SOLEXA	0	0	86	NA	1000	1000	0
Ets98B_SOLEXA	0	0	129	soc	1000	1000	0
Ets21C_SOLEXA	0	0	122	soc	1000	1000	0
Eip93F_SOLEXA	0	0	110	soc	1000	1000	0
eg_SOLEXA	0	0	122	NA	1000	1000	0
E5_SOLEXA	0	0	58	soc	1000	1000	0
dys_tgo_SOLEXA_5	1	1	127	NA	476	460	0
dsx_SELEX	1	1	115	soc	542	441	0
disco_SOLEXA_5	0	0	97	soc	1000	1000	0
Dip3_SOLEXA	1	1	109	soc	420	454	0
Dif_Rel_SELEX	0	0	120	NA	1000	1000	0
Deaf1_FlyReg	1	1	125	NA	456	501	0
da_SOLEXA_5	0	0	129	sol	1000	1000	0
D19B_SOLEXA_5	0	0	130	soc	1000	1000	0
cwo_SOLEXA_5	0	0	120	soc	1000	1000	0
Ct_SOLEXA	0	0	102	soc	1000	1000	0
crp_SOLEXA_5	0	0	120	NA	1000	1000	0
CrebA_SOLEXA	0	0	152	soc	1000	1000	0
cnc_maf_s_SELEX	0	0	118	soc	1000	1000	0
chinmo_SOLEXA_15	0	0	101	soc	1000	1000	0
CG8765_SOLEXA	0	0	146	NA	1000	1000	0
CG8319_SOLEXA_2.5	0	0	112	NA	1000	1000	0
CG8281_SOLEXA	0	0	88	NA	1000	1000	0
CG7056_SOLEXA	0	0	69	soc	1000	1000	0
CG6276_SOLEXA	0	0	112	NA	1000	1000	0
CG5669_SOLEXA_5	0	0	149	sol	1000	1000	0
CG4854_SOLEXA_5	1	1	143	NA	534	510	0
CG4404_SOLEXA	0	0	125	NA	1000	1000	0
CG3919_SOLEXA	0	0	147	NA	1000	1000	0
CG3838_SOLEXA	0	0	127	soc	1000	1000	0
CG32830_SOLEXA_5	0	0	95	NA	1000	1000	0
CG17181_SOLEXA_5	0	0	108	NA	1000	1000	0
CG15696_SOLEXA	0	0	65	soc	1000	1000	0
CG15601_SOLEXA	0	0	100	soc	1000	1000	0
CG14962_SOLEXA_5	0	0	121	NA	1000	1000	0
CG12768_SOLEXA	0	0	114	soc	1000	1000	0
CG12605_SOLEXA_5	0	0	105	NA	1000	1000	0
CG12236_PB_SOLEXA_2.5	0	0	113	NA	1000	1000	0
CG12155_SOLEXA	1	1	152	soc	531	522	0
CG11504_SOLEXA	0	0	143	soc	1000	1000	0
CG11071_SOLEXA_5	1	1	155	sol	514	577	0
Cf2_PB_SOLEXA_5	0	0	113	soc	1000	1000	0
Cf2_PA_SOLEXA_2.5	0	0	93	soc	1000	1000	0
C15_SOLEXA	0	0	75	NA	1000	1000	0
byn_FlyReg	1	1	97	NA	376	339	0
BtbVII_SOLEXA	0	0	103	soc	1000	1000	0
br_PE_SOLEXA_5	0	0	106	soc	1000	1000	0
br_PC_SOLEXA_10	0	0	107	soc	1000	1000	0
br_PA_SOLEXA_5	0	0	101	soc	1000	1000	0
bowl_SOLEXA_5	1	1	134	NA	459	444	0
BH1_SOLEXA	0	0	63	soc	1000	1000	0
Atf6_SOLEXA	0	0	129	sol	1000	1000	0
Atf_2_SOLEXA	0	0	109	soc	1000	1000	0
Ara_SOLEXA	0	0	92	soc	1000	1000	0
Antp_SOLEXA	0	0	65	soc	1000	1000	0
Achi_SOLEXA	0	0	96	NA	1000	1000	0
ac_da_SOLEXA_5	0	0	118	NA	1000	1000	0
ab_SOLEXA_5	0	0	146	NA	1000	1000	0
AbdB_SOLEXA	0	0	66	soc	1000	1000	0
z_FlyReg	0	1	135	NA	1000	596	-1
vvl_SOLEXA	1	2	95	soc	349	77	-1
ttk_PA_SOLEXA_5	0	1	127	NA	1000	365	-1
Trl_FlyReg	0	1	137	NA	1000	477	-1
toy_SOLEXA	0	1	149	sol	1000	516	-1
tll_SOLEXA	1	2	119	soc	484	123	-1
Tkr_SOLEXA	0	1	137	soc	1000	432	-1
SuH_compiled	0	1	145	sol	1000	564	-1
sug_SOLEXA_5	0	1	147	NA	1000	595	-1
Stat92E_SELEX	0	1	113	soc	1000	391	-1
sd_FlyReg	0	1	89	soc	1000	237	-1
salr_F3_5_SOLEXA_2.5	1	2	145	NA	622	160	-1
run_Bgb_NBT	0	1	107	NA	1000	347	-1
opa_SOLEXA_5	0	1	138	sol	1000	540	-1
lola_PW_SOLEXA	0	1	134	NA	1000	495	-1
lola_PJ_SOLEXA	0	1	95	soc	1000	376	-1
Kr_SOLEXA_2.5	1	2	103	NA	399	141	-1
Hth_SOLEXA	0	1	98	soc	1000	378	-1
h_SOLEXA_5	0	1	148	soc	1000	369	-1
HLH4C_da_SOLEXA_5	0	1	141	NA	1000	495	-1
her_SOLEXA_10	0	1	151	soc	1000	579	-1
gt_SOLEXA	0	1	95	soc	1000	290	-1
Gsc_SOLEXA	0	1	89	NA	1000	311	-1
GATAd_SOLEXA	1	2	102	NA	440	74	-1
Fer1_da_SOLEXA_5	0	1	121	NA	1000	402	-1
eyg_SOLEXA_t50	0	1	111	NA	1000	406	-1
esg_F3_5_SOLEXA	0	1	149	soc	1000	483	-1
Eip74EF_SOLEXA	0	1	116	soc	1000	371	-1
Doc2_SOLEXA	0	1	104	NA	1000	378	-1
dl_NBT	0	1	128	sol	1000	447	-1
dimm_da_SOLEXA_5	0	1	126	soc	1000	537	-1
Dfd_SOLEXA	0	1	65	soc	1000	211	-1
D19A_F10_12_SANGER_5	0	1	94	soc	1000	399	-1
Crc_CG6272_SOLEXA	0	1	103	soc	1000	396	-1
CG7928_SOLEXA_5	0	1	143	sol	1000	596	-1
CG5953_SOLEXA	0	1	134	soc	1000	483	-1
CG4360_F1_3_SOLEXA_2.5	0	1	127	soc	1000	459	-1
CG31782_SOLEXA_5	0	1	128	NA	1000	514	-1
CG31670_SOLEXA_5	0	1	141	NA	1000	487	-1
CG1621_SOLEXA	0	1	167	NA	1000	579	-1
CG13897_SOLEXA	0	1	157	NA	1000	490	-1
CG11723_SOLEXA	0	1	155	NA	1000	460	-1
CG10904_SOLEXA	0	1	169	NA	1000	705	-1
CG10267_F1_3_SOLEXA_5	0	1	87	soc	1000	384	-1
bab1_SOLEXA	0	1	75	NA	1000	301	-1
Awh_SOLEXA	0	1	63	soc	1000	205	-1
apt_SELEX	0	1	101	soc	1000	335	-1
acj6_SOLEXA	0	1	92	soc	1000	335	-1
trem_SELEX	0	2	124	sol	1000	156	-2
Side_SOLEXA_5	0	2	148	NA	1000	78	-2
pros_SELEX	0	2	129	sol	1000	248	-2
peb_F1_3_SOLEXA_2.5	0	2	133	sol	1000	82	-2
mef2_compiled	0	2	80	soc	1000	81	-2
lola_PO_SOLEXA	0	2	156	NA	1000	234	-2
grh_FlyReg	0	2	119	NA	1000	107	-2
gl_SOLEXA_5	0	2	124	NA	1000	125	-2
fkh_NAR	0	2	90	soc	1000	65	-2
ci_SOLEXA_5	0	2	136	sol	1000	163	-2
CG9437_SOLEXA	0	2	125	soc	1000	124	-2
Blimp_1_SOLEXA_5	0	2	136	NA	1000	216	-2
Bap_SOLEXA	0	2	84	soc	1000	62	-2
Aef1_SOLEXA_5	0	2	147	soc	1000	170	-2
jim_F1_9_SOLEXA_2.5	0	3	138	soc	1000	41	-3
hkb_SOLEXA_5	0	3	157	sol	1000	78	-3
