motif	soc_sig	sol_sig	num_tests	previous	soc_perms	sol_perms	soc-sol
Side_SOLEXA_5	1	5	587	NA	900	102	-4
Poxm_SOLEXA	3	7	587	sol	627	165	-4
pad_SOLEXA_5	0	4	587	NA	1000	566	-4
Med_FlyReg	0	4	587	sol	1000	559	-4
Kr_SOLEXA_2.5	1	5	587	NA	947	277	-4
Hr83_SOLEXA	3	7	587	soc	584	47	-4
her_SOLEXA_10	0	4	587	soc	1000	593	-4
CG4404_SOLEXA	1	5	587	NA	972	361	-4
CG11723_SOLEXA	3	7	587	NA	650	71	-4
Tkr_SOLEXA	0	5	587	soc	1000	203	-5
hkb_SOLEXA_5	0	5	580	sol	1000	245	-5
dl_NBT	2	7	587	sol	784	49	-5
CG31782_SOLEXA_5	2	7	587	NA	888	133	-5
br_PA_SOLEXA_5	1	6	587	soc	968	205	-5
bab1_SOLEXA	0	5	584	NA	1000	69	-5
Awh_SOLEXA	0	5	587	soc	1000	67	-5
Aef1_SOLEXA_5	0	5	587	soc	1000	388	-5
z_FlyReg	2	8	587	NA	845	104	-6
ttk_PA_SOLEXA_5	0	6	587	NA	1000	66	-6
Hr39_SOLEXA	0	6	587	NA	1000	196	-6
gt_SOLEXA	1	7	582	soc	915	24	-6
ac_da_SOLEXA_5	0	6	585	NA	1000	149	-6
