motif	soc_sig	sol_sig	#tests	genome-wide
lola_PL_SOLEXA_2.5	0	0	25	NA
lola_PO_SOLEXA	0	0	10	NA
lola_PP_SOLEXA_2.5	1	0	32	soc
lola_PQ_SOLEXA	0	0	0	soc
lola_PU_SOLEXA_5	0	0	0	NA
lola_PW_SOLEXA	0	0	17	NA
lola_PY_SOLEXA_5	0	0	12	NA
Max_Mnt_SOLEXA_5	0	0	7	soc
mef2_compiled	0	0	5	soc
Mes2_SOLEXA	0	0	0	sol
Met_SOLEXA_5	0	0	13	NA
nau_SOLEXA_5	0	0	0	soc
NFAT_SOLEXA	0	0	0	NA
nub_SOLEXA	0	0	34	soc
Oli_da_SOLEXA_5_1	0	0	0	NA
opa_SOLEXA_5	0	0	35	sol
Parx_da_SOLEXA_5	0	0	12	NA
peb_F1_3_SOLEXA_2.5	0	0	0	sol
peb_F5_7_SOLEXA_2.5	0	0	10	soc
pfk_SOLEXA	0	0	20	NA
pros_SELEX	0	0	26	sol
retn_SOLEXA	0	0	21	soc
rib_SOLEXA	0	0	16	soc
sage_da_SOLEXA_5	0	0	0	NA
salr_F3_5_SOLEXA_2.5	0	0	0	NA
shn_F1_2_SOLEXA_2.5	0	0	0	NA
Side_SOLEXA_5	0	1	17	NA
slbo_SOLEXA	0	0	5	NA
sob_F3_5_SOLEXA_5	0	0	0	soc
Sox14_SOLEXA	0	0	2	soc
Sox15_SOLEXA	0	1	20	soc
Stat92E_SELEX	0	0	0	soc
SuH_compiled	0	2	15	sol
tai_Met_SOLEXA_5	0	0	22	soc
tai_SOLEXA_5	0	0	19	NA
tap_da_SOLEXA_5	0	0	0	sol
tgo_sima_SOLEXA_5	0	0	0	soc
tgo_ss_SOLEXA_5	0	0	0	NA
tj_SOLEXA	0	0	0	NA
Tkr_SOLEXA	0	0	22	soc
tll_SOLEXA	0	0	0	soc
toy_SOLEXA	0	0	12	sol
trem_SELEX	1	2	187	sol
ttk_PA_SOLEXA_5	1	0	45	NA
ttk_PF_SOLEXA_5	0	0	4	soc
Usf_SOLEXA_5	0	0	0	NA
usp_SOLEXA	0	0	0	NA
vri_SOLEXA	0	0	2	soc
vvl_SOLEXA	0	0	34	soc
Xrp1_CG6272_SOLEXA	0	0	1	soc
ab_SOLEXA_5	0	0	0	NA
AbdB_SOLEXA	1	1	42	soc
Achi_SOLEXA	1	0	17	NA
Antp_SOLEXA	0	1	23	soc
Ara_SOLEXA	0	0	75	soc
Awh_SOLEXA	0	0	20	soc
Bap_SOLEXA	0	0	6	soc
BH1_SOLEXA	0	1	29	soc
br_PC_SOLEXA_10	0	0	0	soc
brk_FlyReg	1	0	93	sol
Bteb2_SOLEXA_2.5	0	0	18	sol
byn_FlyReg	0	0	14	NA
C15_SOLEXA	0	0	28	NA
CG10267_SOLEXA_5	0	0	6	NA
CG12029_SOLEXA_5	0	0	2	NA
CG12236_PA_SOLEXA_5	0	0	0	soc
CG12605_SOLEXA_5	0	0	0	NA
CG14962_SOLEXA_5	0	0	0	NA
CG15696_SOLEXA	0	0	33	soc
CG17181_SOLEXA_5	0	0	0	NA
CG3065_F1_5_SOLEXA_2.5	0	0	6	sol
CG31670_SOLEXA_5	0	0	0	NA
CG32830_SOLEXA_5	0	0	5	NA
CG4854_SOLEXA_5	0	0	0	NA
CG5669_SOLEXA_5	0	0	2	sol
CG7056_SOLEXA	1	0	20	soc
CG7368_SOLEXA_2.5	0	0	20	NA
CG7928_SOLEXA_5	0	0	0	sol
CG8319_SOLEXA_2.5	0	0	0	NA
chinmo_SOLEXA_15	0	0	8	soc
Ct_SOLEXA	0	0	5	soc
D19A_F10_12_SANGER_5	0	0	12	soc
Deaf1_FlyReg	0	0	24	NA
Dfd_SOLEXA	0	0	11	soc
disco_SOLEXA_5	0	0	0	soc
dl_NBT	0	0	0	sol
E5_SOLEXA	0	0	32	soc
Exd_SOLEXA	0	0	17	NA
fkh_NAR	0	1	24	soc
fru_PI_SOLEXA_5	0	0	0	soc
gl_SOLEXA_5	0	0	0	NA
grh_FlyReg	1	0	33	NA
gsb_SOLEXA	0	0	5	NA
gsb_n_SOLEXA	0	0	7	NA
Gsc_SOLEXA	0	0	7	NA
hb_SOLEXA_5	0	0	9	soc
her_SOLEXA_10	0	0	0	soc
Hmx_SOLEXA	0	0	18	NA
Hth_SOLEXA	0	0	19	soc
Ind_Cell	0	0	8	soc
jim_F1_9_SOLEXA_2.5	0	0	18	soc
kay_Jra_SANGER	0	0	0	soc
ken_SOLEXA_5	0	0	0	soc
klu_SOLEXA_5	0	0	40	sol
l_3_neo38_SOLEXA_2.5	0	0	32	NA
Lag1_SOLEXA	0	0	17	soc
Lbe_SOLEXA	0	0	23	soc
Lim3_SOLEXA	0	0	32	NA
Mad_FlyReg	3	0	161	sol
Med_FlyReg	1	0	129	sol
onecut_SOLEXA	0	0	16	soc
Optix_SOLEXA	0	0	9	soc
ovo_SOLEXA_5	0	0	0	soc
pad_SOLEXA_5	0	0	49	NA
pho_SOLEXA_5	0	0	5	sol
Poxm_SOLEXA	0	0	28	sol
Rel_SANGER	0	0	0	soc
run_Bgb_NBT	0	0	0	NA
sd_FlyReg	0	0	14	soc
sens_SOLEXA_5	0	0	0	NA
Six4_SOLEXA_2	0	0	6	NA
sr_SOLEXA_5	0	0	51	sol
sug_SOLEXA_5	0	0	9	NA
Tin_SOLEXA	0	1	13	NA
Trl_FlyReg	1	0	170	NA
vfl_SOLEXA_5	0	0	0	NA
z_FlyReg	0	0	32	NA
