CNEE	SocFast	SolFast	Equal	MedSoc-Sol	ProxOG	ProxType	Fly	HAv3.1	Age	AntP	AbdP	HedP	DufP	AAUR_APUR	HLIG_HQUA	LMAR_LFIG	LZEP_LVIE	LPAU_LOEN
ce59705	5	0	0	0.2618	15387	intron	Cirl	LOC552142	Bilateria	0.01184	0.1504	0.03651	0.2471	(127;1;0)	(124;4;0)	(126;2;0)	(126;2;0)	(126;2;0)
ce160125	5	0	0	0.193	15176	promoter	Clamp	LOC409573	Bilateria	0.02467	0.4873	0.9389	0.502	(599;11;0)	(474;5;132)	(348;4;260)	(610;2;0)	(106;2;504)
ce7145	5	0	0	0.0732	10599	intron	NA	LOC410534	Bilateria	NA	NA	0.01502	NA	(295;3;30)	(293;7;2)	(298;5;1)	(304;2;0)	(302;2;7)
ce4625	5	0	0	0.3362	10381	intron	sei	LOC410498	Bilateria	0.04822	NA	0.8222	NA	(128;1;0)	(117;4;0)	(117;3;0)	(119;1;0)	(121;1;0)
ce70924	5	0	0	0.2771	10640	intron	heph	LOC552709	Bilateria	0.4641	0.6738	0.9408	0.03894	(134;10;2)	(139;5;0)	(142;2;0)	(142;2;0)	(143;1;0)
ce10218	5	0	0	0.2455	13025	promoter	Dmel\\CG16711	LOC724737	Neoptera	0.8438	0.04281	0.4145	0.2696	(101;3;94)	(194;4;0)	(188;2;8)	(233;2;12)	(199;1;0)
ce44746	5	0	0	0.3847	11768	intron	Dmel\\CG10375	LOC410294	Bilateria	0.1787	0.1693	0.00982	0.8864	(245;19;11)	(258;6;0)	(257;9;4)	(257;8;2)	(278;2;0)
ce66468	5	0	0	0.1338	15382	intron	trbl	LOC409288	Bilateria	0.1574	0.3614	0.5521	0.03931	(281;13;4)	(285;2;2)	(283;3;0)	(279;7;1)	(282;4;0)
ce85634	5	0	0	0.0911	13310	intron	FBpp0088320	LOC725551	Bilateria	0.004981	0.3815	0.03255	0.7906	(161;4;0)	(167;5;1)	(167;4;0)	(167;2;2)	(169;2;0)
ce59692	5	0	0	0.1539	15387	intron	Cirl	LOC552142	Bilateria	0.01184	0.1504	0.03651	0.2471	(449;13;8)	(444;3;0)	(438;11;0)	(439;10;0)	(438;11;0)
ce59698	5	0	0	0.1123	15387	intron	Cirl	LOC552142	Bilateria	0.01184	0.1504	0.03651	0.2471	(533;6;14)	(542;3;2)	(532;9;1)	(539;3;1)	(522;16;16)
ce109972	5	0	0	0.1369	14937	intron	sty	LOC725117	Bilateria	0.04862	0.3479	0.3186	0.5615	(228;8;19)	(228;2;0)	(232;1;0)	(231;2;0)	(232;1;0)
ce67091	5	0	0	0.0732	12146	intron	gbb	LOC410776	Bilateria	0.3068	0.0003838	0.005487	0.7546	(357;3;0)	(362;4;0)	(355;7;0)	(360;2;0)	(359;3;0)
ce156598	5	0	0	0.279	11466	promoter	Doa	LOC411812	Bilateria	0.1465	0.006413	0.04442	0.1258	(108;3;0)	(106;6;7)	(111;1;9)	(113;2;0)	(112;2;0)
ce126527	5	0	0	0.0557	13417	intron	CYHR1_DROME	LOC413103	Bilateria	0.6112	0.0361	0.4021	0.507	(604;6;0)	(601;8;16)	(630;10;10)	(655;5;4)	(641;6;3)
ce123496	5	0	0	0.1926	10208	intron	B4	LOC100578828	NA	0.01422	NA	0.04314	NA	(196;10;29)	(203;4;0)	(205;2;0)	(205;1;1)	(206;1;0)
ce155849	5	0	0	0.1625	15169	intron	m	m	Neoptera	NA	0.0399	NA	NA	(306;8;10)	(295;11;15)	(309;8;1)	(315;2;0)	(314;3;1)
ce164071	5	0	0	0.2248	16135	intron	yem	LOC412133	Bilateria	0.0946	0.04029	0.3705	0.9837	(217;10;1)	(224;8;8)	(179;1;10)	(227;4;0)	(185;2;0)
ce50987	5	0	0	0.0507	18286	intron	NA	NA	Bilateria	0.7347	0.3243	0.2254	0.02498	(352;8;0)	(352;1;0)	(348;3;0)	(349;2;0)	(349;2;0)
ce159275	5	0	0	0.3564	10870	promoter	2D9	NA	Bilateria	0.6344	0.1224	0.007815	0.2069	(101;2;10)	(99;4;1)	(96;5;0)	(97;4;0)	(100;1;1)
ce161845	5	0	0	0.085	15120	promoter	RhoBTB	RhoBTB	Bilateria	0.09816	0.01797	0.07363	0.8232	(199;4;1)	(203;5;0)	(201;7;4)	(199;3;6)	(204;4;14)
ce37231	5	0	0	0.3385	16753	promoter	Chro	LOC409093	Bilateria	0.01085	0.7165	0.06515	0.1894	(166;2;0)	(176;2;0)	(172;2;2)	(174;1;1)	(170;4;0)
ce120190	5	0	0	0.274	13728	promoter	Pak	Pak	Bilateria	0.001338	0.426	0.1129	0.9387	(240;13;10)	(245;14;3)	(247;6;0)	(252;1;0)	(255;1;3)
ce81433	5	0	0	0.0913	10998	promoter	FBpp0085394	LOC409095	Bilateria	0.03757	0.03821	0.003518	NA	(250;1;22)	(266;8;9)	(267;6;0)	(272;1;0)	(271;2;0)
ce122532	5	0	0	0.2198	16490	intron	NA	LOC726886	Neoptera	NA	0.002154	0.8654	NA	(240;3;1)	(242;5;0)	(242;5;0)	(248;1;0)	(242;5;1)
ce32335	5	0	0	0.1546	18157	promoter	Sep15	LOC410663	Bilateria	0.9153	0.294	0.04185	0.244	(187;5;10)	(193;6;0)	(197;1;0)	(196;2;0)	(195;4;1)
ce140409	5	0	0	0.2482	11024	intron	by	by	Bilateria	0.03657	0.0247	0.02769	0.1946	(210;5;27)	(218;3;0)	(214;7;0)	(219;3;0)	(215;6;0)
ce76783	5	0	0	0.2325	10718	intron	Dmel\\CG31381	NA	Bilateria	0.02132	0.203	0.02104	0.2817	(162;11;5)	(169;2;0)	(168;3;0)	(170;1;0)	(170;1;0)
ce167897	5	0	0	0.0585	12126	intron	NA	NA	Bilateria	0.1227	0.2462	0.0231	0.1206	(304;5;6)	(313;1;0)	(306;4;0)	(308;2;0)	(309;1;0)
ce6423	5	0	0	0.2807	11034	intron	FBpp0288495	LOC410517	Bilateria	0.0691	0.003087	0.07976	0.2902	(109;2;3)	(99;5;0)	(98;6;0)	(102;2;0)	(100;4;0)
ce93977	5	0	0	0.243	12563	promoter	Pka-R1	LOC412714	Bilateria	0.09731	0.1253	0.1675	0.02988	(356;8;4)	(365;6;11)	(369;6;12)	(378;2;6)	(371;4;10)
ce108867	5	0	0	0.0802	14885	promoter	BcDNA:RH08992	NA	Bilateria	0.05983	0.04861	0.04118	0.185	(195;8;3)	(241;4;2)	(235;6;5)	(244;2;0)	(244;1;1)
ce115064	5	0	0	0.1229	10968	promoter	sfl	LOC413242	Bilateria	0.002704	0.001557	0.1767	0.05315	(196;6;0)	(197;4;0)	(199;3;0)	(198;2;1)	(193;1;10)
ce14669	5	0	0	0.2178	12790	intron	FBpp0290711	osp	Bilateria	0.07849	0.02385	0.03125	0.3751	(153;1;0)	(154;2;0)	(152;4;0)	(153;3;0)	(152;4;0)
ce161843	5	0	0	0.0839	15120	intron	RhoBTB	RhoBTB	Bilateria	0.09816	0.01797	0.07363	0.8232	(146;1;1)	(144;4;0)	(147;2;0)	(146;2;2)	(147;2;104)
ce83879	5	0	0	0.2477	14530	intron	Madm	Madm	Bilateria	0.9338	0.8298	0.0492	0.8134	(128;6;0)	(133;2;0)	(132;5;1)	(137;5;1)	(136;1;0)
ce84207	5	0	0	0.3011	14565	promoter	Rbpn-5	LOC726432	Bilateria	0.006571	0.641	0.7445	0.3666	(125;2;0)	(130;2;0)	(130;2;0)	(133;1;0)	(131;1;0)
ce4723	5	0	0	0.074	15752	intron	nudE	LOC409894	Bilateria	0.04013	0.09187	0.00576	0.6976	(248;11;36)	(245;1;70)	(248;5;5)	(256;2;3)	(255;2;2)
ce20044	5	0	0	0.0836	10318	intron	Pp2B-14D	LOC411046	Bilateria	0.4261	0.3728	0.03851	0.1857	(220;8;16)	(249;1;10)	(225;9;20)	(252;2;0)	(248;6;0)
ce129794	5	0	0	0.1916	13350	intron	Dmel\\CG12075	LOC552005	Protostomia	0.6163	0.07052	0.04634	0.2214	(210;21;19)	(239;1;0)	(250;5;1)	(262;3;2)	(250;5;5)
ce19824	5	0	0	0.1634	14254	intron	scrib	LOC413669	Bilateria	0.6524	0.008824	0.1753	0.433	(242;6;7)	(286;1;3)	(279;5;0)	(290;1;2)	(282;2;2)
ce144452	5	0	0	0.1098	14139	intron	NA	NA	Protostomia	0.7639	0.372	0.2482	0.02262	(146;3;0)	(160;1;0)	(158;3;18)	(158;3;0)	(159;2;1)
ce120175	5	0	0	0.3543	13724	intron	SelR	LOC724494	Bilateria	0.005806	0.03897	0.04482	0.677	(106;2;0)	(106;4;0)	(109;2;0)	(110;1;0)	(110;1;0)
ce144278	5	0	0	0.2561	13469	intron	NA	LOC724634	Neoptera	0.884	0.02016	0.1644	0.3951	(262;2;0)	(252;12;2)	(258;5;1)	(261;3;0)	(261;3;0)
ce8240	5	0	0	0.0967	17906	promoter	NA	LOC727287	Bilateria	0.3183	0.004473	0.2089	NA	(362;6;70)	(355;5;9)	(360;9;3)	(367;2;1)	(372;4;7)
ce123909	5	0	0	0.1152	13361	intron	Ptpmeg2	LOC411227	Bilateria	0.1399	0.1139	0.02503	0.5472	(143;2;0)	(145;1;0)	(143;2;0)	(144;1;0)	(144;1;0)
ce54224	5	0	0	0.2733	11624	intron	Klp31E	LOC411068	Bilateria	0.1295	0.02719	0.0498	0.4598	(106;5;0)	(111;1;0)	(113;1;0)	(113;1;0)	(113;1;0)
ce59736	5	0	0	0.0973	15387	intron	Cirl	LOC552142	Bilateria	0.01184	0.1504	0.03651	0.2471	(169;4;0)	(170;1;17)	(169;2;0)	(168;3;1)	(169;2;0)
ce44784	5	0	0	0.3818	17201	promoter	NA	NA	Bilateria	0.544	0.01891	0.1432	0.5903	(139;9;2)	(87;9;68)	(150;2;2)	(151;1;0)	(145;5;6)
ce37696	5	0	0	0.1524	16738	intron	Dmel\\CG6398	LOC551144	Protostomia	0.152	0.02371	0.02829	0.08341	(278;5;20)	(266;2;24)	(249;5;70)	(323;9;31)	(278;3;26)
ce59641	5	0	0	0.1733	15387	intron	Cirl	LOC552142	Bilateria	0.01184	0.1504	0.03651	0.2471	(192;1;1)	(192;2;0)	(189;4;0)	(192;1;0)	(189;4;0)
ce63771	5	0	0	0.0655	10232	intron	fas	LOC724195	Bilateria	9.741e-05	NA	0.188	NA	(210;6;0)	(216;3;0)	(216;2;0)	(218;1;0)	(214;4;0)
ce63637	5	0	0	0.0966	10232	intron	fas	LOC724195	Bilateria	9.741e-05	NA	0.188	NA	(181;8;21)	(179;1;9)	(173;8;14)	(195;1;0)	(191;2;0)
ce173688	5	0	0	0.0668	19333	intron	NA	LOC409091	Bilateria	NA	0.001447	0.1958	NA	(371;10;2)	(372;9;15)	(375;4;10)	(386;3;0)	(380;1;14)
ce152057	5	0	0	0.1948	14072	intron	CG7388	LOC411670	Bilateria	0.5976	0.1257	0.005237	0.7048	(146;10;35)	(202;2;0)	(202;2;0)	(203;1;0)	(203;1;0)
ce6603	5	0	0	0.5814	15977	intron	NA	NA	Bilateria	NA	NA	0.03318	NA	(116;2;0)	(114;4;0)	(115;3;0)	(117;1;0)	(116;2;0)
ce110315	5	0	0	0.1903	17684	intron	NA	LOC552675	Hymenoptera	0.1044	0.6083	0.04123	0.4209	(353;7;0)	(354;9;2)	(358;4;6)	(359;4;0)	(355;8;2)
