CNEE	SocFast	SolFast	Equal	MedSoc-Sol	ProxOG	ProxType	Fly	HAv3.1	Age	AAUR_APUR	HLIG_HQUA	LMAR_LFIG	LZEP_LVIE	LPAU_LOEN
ce53104	5	0	0	0.3511	11080	intron	side	LOC552513	Bilateria	(139;6;5)	(140;3;3)	(142;2;0)	(143;1;0)	(143;1;0)
ce30619	5	0	0	0.3501	11059	intron	Ddr	LOC411213	Bilateria	(133;2;0)	(133;2;0)	(134;1;0)	(134;1;0)	(133;2;0)
ce111695	5	0	0	0.3489	18462	intron	NA	NA	Bilateria	(142;1;0)	(141;5;12)	(142;7;0)	(140;4;0)	(150;4;5)
ce31189	5	0	0	0.3475	16702	intron	tfc	LOC410293	Bilateria	(112;7;29)	(121;3;0)	(121;2;7)	(120;4;0)	(122;2;0)
ce111251	5	0	0	0.345	13747	intron	FBpp0088658	LOC412916	Bilateria	(173;2;0)	(180;5;13)	(175;4;2)	(179;2;0)	(177;4;10)
ce53070	5	0	0	0.3445	11269	intron	Pax	LOC551919	Bilateria	(177;2;0)	(177;1;1)	(172;3;0)	(174;1;0)	(171;2;0)
ce95732	5	0	0	0.3431	10333	intron	Patj	LOC409020	Bilateria	(236;10;6)	(242;5;0)	(235;13;0)	(249;2;0)	(257;3;0)
ce17036	5	0	0	0.3415	18878	promoter	NA	NA	Halictidae	(113;3;0)	(110;5;0)	(111;4;0)	(113;4;1)	(114;1;0)
ce149245	5	0	0	0.341	10976	intron	Dmel\\CG4393	LOC408887	Bilateria	(128;4;0)	(132;1;0)	(131;1;0)	(131;1;0)	(129;3;0)
ce27243	5	0	0	0.3398	10699	intron	Dad	LOC413371	Bilateria	(182;4;13)	(138;6;1)	(156;4;7)	(159;1;0)	(176;3;14)
ce37231	5	0	0	0.3385	16753	promoter	Chro	LOC409093	Bilateria	(166;2;0)	(176;2;0)	(172;2;2)	(174;1;1)	(170;4;0)
ce4625	5	0	0	0.3362	10381	intron	sei	LOC410498	Bilateria	(128;1;0)	(117;4;0)	(117;3;0)	(119;1;0)	(121;1;0)
ce62053	5	0	0	0.3315	10686	intron	NA	LOC408583	Bilateria	(132;7;0)	(140;3;0)	(141;2;1)	(141;2;2)	(141;2;0)
ce97866	5	0	0	0.3308	10406	intron	PP2C	LOC724192	Bilateria	(129;5;6)	(126;3;0)	(127;2;0)	(128;1;0)	(128;1;0)
ce32103	5	0	0	0.3298	12151	intron	LPCAT	LOC550970	Bilateria	(96;7;2)	(100;2;2)	(95;7;0)	(99;3;0)	(100;2;0)
ce155798	5	0	0	0.3296	15168	promoter	NA	LOC102655764	Hymenoptera	(107;2;0)	(108;1;0)	(105;4;0)	(108;1;0)	(107;2;0)
ce45786	5	0	0	0.3285	10225	intron	NA	NA	Bilateria	(158;14;6)	(180;3;0)	(180;3;15)	(182;1;0)	(182;1;0)
ce68216	5	0	0	0.3241	18173	intron	cnc	LOC725081	Bilateria	(121;2;3)	(129;1;0)	(118;5;3)	(122;1;0)	(122;1;0)
ce50334	5	0	0	0.3211	11728	intron	FBpp0291051	LOC413021	Bilateria	(157;13;27)	(162;7;2)	(166;3;0)	(166;3;0)	(164;5;0)
ce155281	5	0	0	0.3204	15164	intron	Tusp	LOC409680	Bilateria	(123;1;2)	(122;1;0)	(121;2;0)	(122;1;0)	(122;1;0)
ce133601	5	0	0	0.3191	15620	promoter	chico	IRS	Bilateria	(174;7;6)	(217;4;1)	(209;2;10)	(203;3;0)	(206;3;0)
ce81975	5	0	0	0.3147	10656	intron	NA	LOC100578939	Bilateria	(108;5;0)	(104;2;0)	(105;1;0)	(103;3;0)	(105;1;0)
ce897	5	0	0	0.3132	15767	intron	NA	NA	Bilateria	(158;5;0)	(169;3;12)	(140;2;0)	(141;1;2)	(140;3;0)
ce154249	5	0	0	0.3067	18427	intron	NA	NA	Neoptera	(275;9;4)	(273;11;5)	(277;6;1)	(293;2;0)	(279;4;0)
ce257	5	0	0	0.3023	11226	intron	CG34022-RA	LOC410506	Bilateria	(131;1;0)	(129;3;0)	(127;5;0)	(130;2;0)	(131;1;0)
ce122250	5	0	0	0.3022	17542	promoter	Moe	LOC412799	Bilateria	(168;7;0)	(166;3;2)	(167;2;0)	(166;2;6)	(173;2;0)
ce17666	5	0	0	0.3013	17081	intron	fax	fax	Bilateria	(116;2;0)	(118;1;0)	(115;4;0)	(118;2;0)	(117;2;0)
ce84207	5	0	0	0.3011	14565	promoter	Rbpn-5	LOC726432	Bilateria	(125;2;0)	(130;2;0)	(130;2;0)	(133;1;0)	(131;1;0)
ce78986	5	0	0	0.3008	13615	promoter	Ppa	LOC410175	Bilateria	(196;4;0)	(197;3;0)	(197;3;0)	(199;1;0)	(198;2;0)
ce76930	5	0	0	0.3001	13307	intron	numb	LOC727399	Bilateria	(172;10;28)	(192;4;3)	(197;6;0)	(188;1;14)	(195;4;4)
ce21085	5	0	0	0.293	14341	intron	Dmel\\CG7367	LOC726817	Bilateria	(265;9;0)	(284;5;0)	(283;6;0)	(285;4;1)	(286;3;1)
ce29506	5	0	0	0.2921	11600	intron	NA	LOC411201	Bilateria	(220;1;0)	(216;2;0)	(206;11;0)	(211;6;0)	(210;7;2)
ce95590	5	0	0	0.2913	11077	intron	para	Para	Bilateria	(104;5;6)	(113;2;0)	(110;5;0)	(133;2;0)	(117;2;0)
ce106646	5	0	0	0.2909	21928	intron	NA	NA	NA	(144;6;0)	(137;1;0)	(125;3;10)	(137;1;0)	(137;1;0)
ce52665	5	0	0	0.2864	12510	intron	Fit2	LOC408836	Bilateria	(117;1;6)	(116;2;0)	(115;3;0)	(116;2;0)	(116;2;0)
ce2727	5	0	0	0.286	19515	intron	CT34848	411663	Bilateria	(138;4;1)	(141;1;2)	(142;2;1)	(130;1;14)	(140;1;4)
ce2247	5	0	0	0.2837	10104	intron	NA	NA	Bilateria	(177;1;0)	(180;4;5)	(177;2;0)	(176;2;0)	(172;6;1)
ce91036	5	0	0	0.2827	16092	intron	NA	LOC414021	Bilateria	(137;13;12)	(118;2;0)	(115;5;0)	(118;2;0)	(118;2;0)
ce6423	5	0	0	0.2807	11034	intron	FBpp0288495	LOC410517	Bilateria	(109;2;3)	(99;5;0)	(98;6;0)	(102;2;0)	(100;4;0)
ce156598	5	0	0	0.279	11466	promoter	Doa	LOC411812	Bilateria	(108;3;0)	(106;6;7)	(111;1;9)	(113;2;0)	(112;2;0)
ce70924	5	0	0	0.2771	10640	intron	heph	LOC552709	Bilateria	(134;10;2)	(139;5;0)	(142;2;0)	(142;2;0)	(143;1;0)
ce135369	5	0	0	0.2767	23892	promoter	NA	NA	NA	(143;7;13)	(134;3;0)	(133;4;0)	(136;1;0)	(135;2;0)
ce21917	5	0	0	0.2756	10310	intron	NA	NA	Bilateria	(140;2;3)	(137;5;22)	(137;3;1)	(140;1;0)	(138;3;0)
ce120190	5	0	0	0.274	13728	promoter	Pak	Pak	Bilateria	(240;13;10)	(245;14;3)	(247;6;0)	(252;1;0)	(255;1;3)
ce153969	5	0	0	0.2739	10931	intron	NA	NA	Bilateria	(182;1;0)	(180;3;0)	(182;4;7)	(179;4;1)	(178;5;0)
ce5819	5	0	0	0.2736	19517	promoter	Or22c	LOC102656615	Neoptera	(139;7;0)	(149;2;0)	(146;5;3)	(150;1;1)	(147;1;0)
ce54224	5	0	0	0.2733	11624	intron	Klp31E	LOC411068	Bilateria	(106;5;0)	(111;1;0)	(113;1;0)	(113;1;0)	(113;1;0)
ce83246	5	0	0	0.2726	10999	intron	NfI	LOC410259	Bilateria	(137;7;14)	(171;1;0)	(165;1;6)	(173;1;0)	(169;3;0)
ce4042	5	0	0	0.2726	10133	promoter	NA	NA	NA	(210;4;0)	(212;4;2)	(214;3;0)	(216;1;0)	(212;5;1)
ce21956	5	0	0	0.2698	10986	intron	ds	LOC408767	Bilateria	(173;2;14)	(232;2;17)	(236;10;20)	(222;1;2)	(242;4;6)
ce67263	5	0	0	0.2683	18188	intron	NA	LOC724148	Hymenoptera	(131;5;0)	(140;5;0)	(144;5;6)	(148;1;0)	(144;5;0)
ce44710	5	0	0	0.2672	17184	intron	wge	LOC411986	Bilateria	(214;5;5)	(213;10;3)	(219;4;0)	(220;1;2)	(219;4;0)
ce133235	5	0	0	0.2658	10169	intron	NA	LOC412934	NA	(176;3;0)	(174;4;0)	(171;5;1)	(172;5;0)	(169;8;1)
ce90961	5	0	0	0.2655	11042	intron	Sox15	LOC726298	Bilateria	(406;3;2)	(387;14;13)	(404;4;2)	(402;2;6)	(400;10;0)
ce164676	5	0	0	0.2635	10897	intron	EG:BACR7A4.12	LOC408690	Bilateria	(126;5;1)	(125;7;0)	(129;2;0)	(130;1;0)	(129;2;0)
ce59705	5	0	0	0.2618	15387	intron	Cirl	LOC552142	Bilateria	(127;1;0)	(124;4;0)	(126;2;0)	(126;2;0)	(126;2;0)
ce139566	5	0	0	0.2614	11514	intron	NA	LOC725354	Bilateria	(150;1;0)	(147;4;0)	(149;2;0)	(152;1;0)	(150;1;0)
ce144278	5	0	0	0.2561	13469	intron	NA	LOC724634	Neoptera	(262;2;0)	(252;12;2)	(258;5;1)	(261;3;0)	(261;3;0)
ce7256	5	0	0	0.2551	11228	intron	RunxA	LOC726124	Bilateria	(171;3;24)	(182;2;2)	(179;5;0)	(183;1;0)	(181;2;3)
ce111322	5	0	0	0.2543	13747	intron	FBpp0088658	LOC412916	Bilateria	(140;7;2)	(131;2;7)	(136;2;4)	(139;3;0)	(141;1;5)
ce14699	5	0	0	0.2532	12790	intron	FBpp0290711	osp	Bilateria	(118;2;3)	(120;3;0)	(122;1;0)	(120;2;0)	(122;1;0)
ce161216	5	0	0	0.2525	11007	intron	Hmx	NA	Bilateria	(192;3;6)	(199;3;0)	(199;2;0)	(196;6;0)	(199;2;0)
ce140995	5	0	0	0.2525	10744	intron	FBpp0072286	Dll	Bilateria	(153;3;38)	(117;0;88)	(155;4;0)	(158;1;0)	(158;1;0)
ce64847	5	0	0	0.2512	17779	promoter	A0A0B4LFS3_DROME	LOC551889	Bilateria	(436;19;0)	(443;11;0)	(446;7;2)	(450;5;0)	(451;4;0)
ce119024	5	0	0	0.2506	10568	intron	Khc-73	LOC409869	Bilateria	(226;4;5)	(227;7;6)	(226;9;1)	(234;1;0)	(232;3;0)
ce140409	5	0	0	0.2482	11024	intron	by	by	Bilateria	(210;5;27)	(218;3;0)	(214;7;0)	(219;3;0)	(215;6;0)
ce83879	5	0	0	0.2477	14530	intron	Madm	Madm	Bilateria	(128;6;0)	(133;2;0)	(132;5;1)	(137;5;1)	(136;1;0)
ce30637	5	0	0	0.2472	11059	intron	Ddr	LOC411213	Bilateria	(156;2;0)	(153;2;0)	(152;3;0)	(152;3;0)	(153;2;0)
ce10218	5	0	0	0.2455	13025	promoter	Dmel\\CG16711	LOC724737	Neoptera	(101;3;94)	(194;4;0)	(188;2;8)	(233;2;12)	(199;1;0)
ce120436	5	0	0	0.2452	10289	intron	NA	LOC408278	Bilateria	(194;2;0)	(118;3;77)	(193;3;0)	(194;2;0)	(193;3;0)
ce175180	5	0	0	0.2431	16238	intron	Rip11	Rip11	Bilateria	(126;6;0)	(131;1;1)	(129;1;0)	(128;2;0)	(129;1;0)
ce93977	5	0	0	0.243	12563	promoter	Pka-R1	LOC412714	Bilateria	(356;8;4)	(365;6;11)	(369;6;12)	(378;2;6)	(371;4;10)
ce171616	5	0	0	0.2427	13666	intron	NA	LOC100577670	Apocrita	(135;4;0)	(139;2;0)	(137;2;0)	(137;2;0)	(137;2;2)
ce93640	5	0	0	0.2418	13341	intron	CG6001	LOC724787	Bilateria	(154;7;2)	(162;1;0)	(160;3;0)	(160;3;0)	(162;1;0)
ce2249	5	0	0	0.2398	10104	intron	NA	NA	Bilateria	(146;2;2)	(115;3;35)	(141;4;4)	(149;2;1)	(146;3;0)
ce171884	5	0	0	0.2392	13661	promoter	Optix	LOC551364	Bilateria	(161;3;2)	(161;6;0)	(163;2;2)	(165;1;0)	(164;1;2)
ce748	5	0	0	0.2391	11221	intron	CG32082	LOC410480	Bilateria	(199;8;30)	(203;4;0)	(205;2;0)	(206;1;0)	(204;3;0)
ce156425	5	0	0	0.2374	15031	intron	qless	LOC102656543	Bilateria	(139;6;0)	(139;9;0)	(142;6;1)	(145;4;0)	(147;2;2)
ce45838	5	0	0	0.236	10225	intron	NA	NA	Bilateria	(179;7;7)	(177;9;0)	(185;1;0)	(186;1;0)	(183;3;0)
ce76783	5	0	0	0.2325	10718	intron	Dmel\\CG31381	NA	Bilateria	(162;11;5)	(169;2;0)	(168;3;0)	(170;1;0)	(170;1;0)
ce159935	5	0	0	0.232	15061	intron	NA	LOC409318	Bilateria	(180;1;1)	(186;8;0)	(184;4;6)	(194;3;0)	(190;4;0)
ce26464	5	0	0	0.2284	11424	intron	NA	LOC408801	NA	(112;6;25)	(127;6;1)	(123;3;0)	(125;1;0)	(124;2;0)
ce145965	5	0	0	0.2277	11255	intron	NA	NA	Hymenoptera	(207;11;12)	(221;3;1)	(219;4;1)	(223;2;0)	(203;2;19)
ce129526	5	0	0	0.2276	13043	promoter	kek6	kek6	Bilateria	(250;12;6)	(312;5;22)	(280;6;43)	(311;4;10)	(301;12;6)
ce165840	5	0	0	0.2264	16345	promoter	NA	LOC100578484	Hymenoptera	(152;6;2)	(155;4;0)	(155;4;0)	(161;2;1)	(158;1;0)
ce164071	5	0	0	0.2248	16135	intron	yem	LOC412133	Bilateria	(217;10;1)	(224;8;8)	(179;1;10)	(227;4;0)	(185;2;0)
ce123562	5	0	0	0.2208	10710	intron	NA	LOC102655143	Bilateria	(135;7;8)	(145;1;0)	(134;4;7)	(143;1;1)	(141;3;0)
ce41725	5	0	0	0.2203	16913	intron	caup	LOC412840	Bilateria	(266;5;3)	(248;4;0)	(239;8;4)	(250;2;0)	(249;2;0)
ce122532	5	0	0	0.2198	16490	intron	NA	LOC726886	Neoptera	(240;3;1)	(242;5;0)	(242;5;0)	(248;1;0)	(242;5;1)
ce34953	5	0	0	0.2188	15576	intron	CR43698	LOC413309	Bilateria	(193;3;0)	(187;9;1)	(193;4;0)	(200;4;3)	(196;1;1)
ce14669	5	0	0	0.2178	12790	intron	FBpp0290711	osp	Bilateria	(153;1;0)	(154;2;0)	(152;4;0)	(153;3;0)	(152;4;0)
ce173742	5	0	0	0.2158	16241	intron	slgA	LOC411808	Bilateria	(144;2;0)	(145;1;0)	(145;1;0)	(145;1;0)	(143;3;0)
ce108819	5	0	0	0.2141	17658	intron	NA	LOC411807	Bilateria	(168;2;2)	(172;2;1)	(172;2;0)	(164;2;0)	(173;1;1)
ce93123	5	0	0	0.2139	16954	intron	Vsx2	LOC411315	Bilateria	(134;8;6)	(141;6;3)	(142;1;0)	(143;3;0)	(141;2;0)
ce37130	5	0	0	0.2132	16750	intron	sog	LOC410035	Bilateria	(218;12;13)	(230;1;0)	(225;4;2)	(228;1;0)	(221;3;7)
ce109561	5	0	0	0.2123	10522	intron	anon-WO0172774.78	LOC724468	Protostomia	(155;5;17)	(158;1;2)	(159;2;0)	(160;1;0)	(160;1;0)
ce123545	5	0	0	0.2117	10710	promoter	NA	LOC102655143	Bilateria	(323;2;63)	(350;13;24)	(293;7;28)	(296;2;5)	(294;4;47)
ce62846	5	0	0	0.2116	12606	intron	KaiR1D	LOC408645	Bilateria	(310;4;23)	(329;3;0)	(325;4;0)	(327;2;0)	(326;3;0)
ce15392	5	0	0	0.2104	11699	intron	Dscam3	LOC412855	Bilateria	(214;5;8)	(211;5;5)	(215;5;1)	(218;2;0)	(208;12;1)
ce96513	5	0	0	0.2099	10691	intron	beat-IIa	LOC725264	Neoptera	(138;10;6)	(142;3;1)	(144;1;0)	(144;1;0)	(143;2;0)
ce5287	5	0	0	0.2072	20608	intron	NA	NA	Hymenoptera	(232;2;23)	(252;5;7)	(225;5;34)	(243;1;0)	(244;2;6)
ce91210	5	0	0	0.2053	13999	promoter	NA	LOC100577454	Neoptera	(190;3;0)	(188;13;6)	(192;2;0)	(190;2;8)	(193;1;0)
ce156438	5	0	0	0.2053	15031	intron	qless	LOC102656543	Bilateria	(243;5;16)	(257;4;0)	(253;6;3)	(254;1;0)	(257;5;0)
ce71643	5	0	0	0.2022	16583	intron	Dmel\\CG32809	LOC411277	Bilateria	(160;2;6)	(165;2;3)	(166;3;5)	(170;2;1)	(172;4;7)
ce39933	5	0	0	0.2017	10485	intron	Pura	LOC100577035	Bilateria	(156;11;1)	(165;2;3)	(163;5;0)	(168;2;0)	(164;4;0)
ce152000	5	0	0	0.2015	13467	intron	polybromo	LOC552677	Bilateria	(148;1;0)	(144;5;0)	(144;3;2)	(148;3;0)	(145;4;0)
ce140971	5	0	0	0.1999	10744	intron	FBpp0072286	Dll	Bilateria	(161;2;19)	(156;6;6)	(153;4;4)	(165;3;7)	(161;5;8)
ce90964	5	0	0	0.1979	11042	intron	Sox15	LOC726298	Bilateria	(195;4;0)	(198;1;0)	(197;2;9)	(197;2;0)	(198;1;4)
ce70348	5	0	0	0.1957	11050	intron	NA	NA	Neoptera	(120;12;11)	(140;2;0)	(137;5;0)	(141;1;0)	(140;2;0)
ce106658	5	0	0	0.1956	21928	intron	NA	NA	NA	(268;7;25)	(259;8;20)	(284;8;2)	(291;1;0)	(275;7;10)
ce152057	5	0	0	0.1948	14072	intron	CG7388	LOC411670	Bilateria	(146;10;35)	(202;2;0)	(202;2;0)	(203;1;0)	(203;1;0)
ce77644	5	0	0	0.1942	17417	promoter	mRpL50	LOC724516	Bilateria	(157;3;26)	(137;5;20)	(162;1;0)	(159;4;0)	(161;2;0)
ce80201	5	0	0	0.1932	17588	intron	sns	LOC551736	Bilateria	(314;1;14)	(304;2;1)	(306;2;0)	(307;1;0)	(104;1;203)
ce71599	5	0	0	0.193	16603	intron	trol	LOC409722	Bilateria	(226;3;1)	(237;1;0)	(233;5;0)	(237;1;0)	(237;2;0)
ce160125	5	0	0	0.193	15176	promoter	Clamp	LOC409573	Bilateria	(599;11;0)	(474;5;132)	(348;4;260)	(610;2;0)	(106;2;504)
ce123496	5	0	0	0.1926	10208	intron	B4	LOC100578828	NA	(196;10;29)	(203;4;0)	(205;2;0)	(205;1;1)	(206;1;0)
ce129794	5	0	0	0.1916	13350	intron	Dmel\\CG12075	LOC552005	Protostomia	(210;21;19)	(239;1;0)	(250;5;1)	(262;3;2)	(250;5;5)
ce45062	5	0	0	0.1903	10516	intron	side-VIII	LOC408824	Bilateria	(230;8;16)	(211;2;0)	(207;6;20)	(214;3;0)	(212;1;0)
ce110315	5	0	0	0.1903	17684	intron	NA	LOC552675	Hymenoptera	(353;7;0)	(354;9;2)	(358;4;6)	(359;4;0)	(355;8;2)
ce47366	5	0	0	0.1883	14118	intron	A0A0B4LFE2_DROME	LOC411059	Bilateria	(218;2;51)	(217;2;0)	(209;4;0)	(211;1;0)	(212;1;0)
ce29499	5	0	0	0.1865	11600	intron	NA	LOC411201	Bilateria	(217;5;0)	(216;2;5)	(220;6;2)	(225;1;0)	(225;1;0)
ce156454	5	0	0	0.1863	10379	intron	NA	NA	Bilateria	(212;1;2)	(211;5;4)	(209;6;0)	(214;1;0)	(214;1;0)
ce139690	5	0	0	0.1849	19882	promoter	NA	NA	Neoptera	(168;2;6)	(179;2;4)	(179;6;0)	(182;3;0)	(198;2;0)
ce61422	5	0	0	0.1842	10531	intron	Rx	Rx	Bilateria	(193;5;10)	(195;4;10)	(206;3;1)	(207;2;0)	(206;3;0)
ce175665	5	0	0	0.1824	19350	intron	NA	NA	Bilateria	(263;7;77)	(273;3;0)	(271;4;1)	(275;1;1)	(274;2;0)
ce101381	5	0	0	0.1822	19483	intron	NA	NA	Neoptera	(174;4;6)	(187;3;0)	(181;5;7)	(183;3;0)	(183;2;6)
ce141476	5	0	0	0.1789	10881	intron	mdy	LOC552377	Bilateria	(197;2;4)	(200;3;0)	(202;1;2)	(202;1;0)	(199;4;0)
ce87689	5	0	0	0.1777	12539	intron	NA	LOC724138	Bilateria	(221;1;0)	(221;3;13)	(215;2;8)	(219;2;0)	(221;1;0)
ce29497	5	0	0	0.1776	11600	intron	NA	LOC411201	Bilateria	(413;7;2)	(410;5;0)	(400;3;6)	(396;2;8)	(402;3;4)
ce158978	5	0	0	0.1773	15030	intron	Mitofilin	LOC408548	Bilateria	(288;10;36)	(282;3;0)	(270;10;8)	(286;2;1)	(284;3;3)
ce170069	5	0	0	0.1772	18719	intron	NA	NA	Bilateria	(266;5;3)	(282;5;6)	(259;12;8)	(276;3;0)	(275;4;2)
ce169745	5	0	0	0.1754	19775	intron	NA	NA	Bilateria	(172;2;0)	(169;5;3)	(173;1;0)	(172;2;0)	(173;1;0)
ce129086	5	0	0	0.1743	21973	intron	NA	NA	NA	(239;15;8)	(259;8;0)	(263;4;0)	(260;2;1)	(264;3;0)
ce133840	5	0	0	0.1738	11022	intron	NA	LOC551249	Bilateria	(102;4;0)	(102;4;0)	(104;2;0)	(98;2;0)	(103;3;0)
ce59641	5	0	0	0.1733	15387	intron	Cirl	LOC552142	Bilateria	(192;1;1)	(192;2;0)	(189;4;0)	(192;1;0)	(189;4;0)
ce99725	5	0	0	0.1729	14781	intron	Imp	LOC410398	Bilateria	(227;10;1)	(234;3;1)	(231;1;2)	(226;6;1)	(233;1;0)
ce170150	5	0	0	0.1706	16329	promoter	FBpp0422976	LOC410882	Bilateria	(582;9;2)	(582;11;9)	(585;9;17)	(590;3;3)	(585;8;8)
